
Pension Fund Manager Id,Pension Fund Manager
PFM001,SBI PENSION FUNDS PRIVATE LIMITED
PFM002,UTI PENSION FUND LIMITED
PFM002,UTI RETIREMENT SOLUTIONS LIMITED
PFM003,LIC PENSION FUND LIMITED
PFM004,IDFC PENSION FUND MANAGEMENT COMPANY LIMITED
PFM005,KOTAK MAHINDRA PENSION FUND LIMITED
PFM006,RELIANCE CAPITAL PENSION FUND LIMITED
PFM007,ICICI PRUDENTIAL PENSION FUNDS MANAGEMENT COMPANY LIMITED
PFM008,HDFC PENSION FUND MANAGEMENT LIMITED
PFM008,HDFC PENSION MANAGEMENT COMPANY LIMITED
PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED
PFM010,ADITYA BIRLA SUNLIFE PENSION FUND MANAGEMENT LIMITED
PFM010,ADITYA BIRLA SUN LIFE PENSION MANAGEMENT LIMITED
PFM010,BIRLA SUN LIFE PENSION MANAGEMENT LIMITED
PFM011,TATA PENSION FUND MANAGEMENT PRIVATE LIMITED
PFM011,TATA PENSION MANAGEMENT LIMITED
PFM011,TATA PENSION MANAGEMENT PRIVATE LIMITED
PFM012,MAX LIFE PENSION FUND MANAGEMENT LIMITED
PFM013,AXIS PENSION FUND MANAGEMENT LIMITED
PFM014,DSP PENSION FUND MANAGERS PRIVATE LIMITED
