Date (YYYY-MM-DD),NAV
2009-06-25,10
2009-06-26,10
2009-06-27,10
2009-06-28,10
2009-06-29,10
2009-06-30,10
2009-07-01,10
2009-07-02,10
2009-07-03,10
2009-07-04,10
2009-07-05,10
2009-07-06,10
2009-07-07,10
2009-07-08,10
2009-07-09,10
2009-07-10,10
2009-07-11,10
2009-07-12,10
2009-07-13,10
2009-07-14,10
2009-07-15,10
2009-07-16,10
2009-07-17,9.9999
2009-07-18,9.9999
2009-07-19,9.9999
2009-07-20,9.9998
2009-07-21,9.9998
2009-07-22,9.9998
2009-07-23,9.9998
2009-07-24,9.9998
2009-07-25,9.9998
2009-07-26,9.9998
2009-07-27,9.9998
2009-07-28,9.9998
2009-07-29,9.9998
2009-07-30,9.9998
2009-07-31,9.9998
2009-08-01,9.9998
2009-08-02,9.9997
2009-08-03,9.9997
2009-08-04,9.9997
2009-08-05,9.9997
2009-08-06,9.9997
2009-08-07,9.9997
2009-08-08,9.9997
2009-08-09,9.9997
2009-08-10,9.9997
2009-08-11,9.9997
2009-08-12,9.9997
2009-08-13,9.9997
2009-08-14,9.9997
2009-08-15,9.9997
2009-08-16,9.9997
2009-08-17,9.9997
2009-08-18,9.9997
2009-08-19,9.9997
2009-08-20,9.9997
2009-08-21,9.9997
2009-08-22,9.9997
2009-08-23,9.9997
2009-08-24,9.9997
2009-08-25,9.9997
2009-08-26,9.9997
2009-08-27,9.9997
2009-08-28,9.9997
2009-08-29,9.9997
2009-08-30,9.9997
2009-08-31,9.9997
2009-09-01,9.9997
2009-09-02,9.9997
2009-09-03,9.9997
2009-09-04,9.9997
2009-09-05,9.9997
2009-09-06,9.9997
2009-09-07,9.9997
2009-09-08,9.9997
2009-09-09,10.0528
2009-09-10,10.0466
2009-09-11,10.0519
2009-09-12,10.0521
2009-09-13,10.0524
2009-09-14,10.0642
2009-09-15,10.0733
2009-09-16,10.0746
2009-09-17,10.0703
2009-09-18,10.0739
2009-09-19,10.0741
2009-09-20,10.0744
2009-09-21,10.0746
2009-09-22,10.0728
2009-09-23,10.0758
2009-09-24,10.0748
2009-09-25,10.0703
2009-09-26,10.0706
2009-09-27,10.0708
2009-09-28,10.0711
2009-09-29,10.0691
2009-09-30,10.0694
2009-10-01,10.0758
2009-10-02,10.076
2009-10-03,10.0763
2009-10-04,10.0765
2009-10-05,10.0905
2009-10-06,10.0842
2009-10-07,10.1332
2009-10-08,10.1387
2009-10-09,10.1239
2009-10-10,10.1243
2009-10-11,10.1248
2009-10-12,10.17
2009-10-13,10.1708
2009-10-14,10.1693
2009-10-15,10.1831
2009-10-16,10.1739
2009-10-17,10.1706
2009-10-18,10.1719
2009-10-19,10.1732
2009-10-20,10.1801
2009-10-21,10.1999
2009-10-22,10.1855
2009-10-23,10.1627
2009-10-24,10.164
2009-10-25,10.1653
2009-10-26,10.178
2009-10-27,10.1983
2009-10-28,10.1938
2009-10-29,10.1967
2009-10-30,10.1928
2009-10-31,10.1958
2009-11-01,10.1971
2009-11-02,10.1983
2009-11-03,10.2082
2009-11-04,10.2102
2009-11-05,10.2145
2009-11-06,10.2126
2009-11-07,10.2138
2009-11-08,10.215
2009-11-09,10.2308
2009-11-10,10.2319
2009-11-11,10.2322
2009-11-12,10.2391
2009-11-13,10.2515
2009-11-14,10.2529
2009-11-15,10.2542
2009-11-16,10.2638
2009-11-17,10.2713
2009-11-18,10.2779
2009-11-19,10.2835
2009-11-20,10.3037
2009-11-21,10.3051
2009-11-22,10.3064
2009-11-23,10.2965
2009-11-24,10.3042
2009-11-25,10.3647
2009-11-26,10.3926
2009-11-27,10.3746
2009-11-28,10.376
2009-11-29,10.3774
2009-11-30,10.3593
2009-12-01,10.3471
2009-12-02,10.3481
2009-12-03,10.3393
2009-12-04,10.3134
2009-12-05,10.3147
2009-12-06,10.3161
2009-12-07,10.3048
2009-12-08,10.3245
2009-12-09,10.3127
2009-12-10,10.3184
2009-12-11,10.3177
2009-12-12,10.3193
2009-12-13,10.3209
2009-12-14,10.3393
2009-12-15,10.3669
2009-12-16,10.3471
2009-12-17,10.365
2009-12-18,10.3443
2009-12-19,10.3463
2009-12-20,10.3482
2009-12-21,10.3492
2009-12-22,10.3574
2009-12-23,10.3691
2009-12-24,10.3928
2009-12-25,10.3947
2009-12-26,10.3967
2009-12-27,10.3986
2009-12-28,10.4005
2009-12-29,10.3965
2009-12-30,10.4099
2009-12-31,10.4159
2010-01-01,10.4199
2010-01-02,10.4218
2010-01-03,10.4238
2010-01-04,10.4348
2010-01-05,10.4375
2010-01-06,10.4381
2010-01-07,10.4275
2010-01-08,10.4371
2010-01-09,10.4394
2010-01-10,10.4413
2010-01-11,10.4473
2010-01-12,10.4633
2010-01-13,10.4756
2010-01-14,10.5065
2010-01-15,10.5113
2010-01-16,10.5134
2010-01-17,10.5155
2010-01-18,10.5266
2010-01-19,10.5132
2010-01-20,10.5164
2010-01-21,10.508
2010-01-22,10.5114
2010-01-23,10.5137
2010-01-24,10.5159
2010-01-25,10.5118
2010-01-26,10.514
2010-01-27,10.5056
2010-01-28,10.5058
2010-01-29,10.5003
2010-01-30,10.5012
2010-01-31,10.5034
2010-02-01,10.4986
2010-02-02,10.456
2010-02-03,10.4748
2010-02-04,10.4606
2010-02-05,10.4546
2010-02-06,10.4608
2010-02-07,10.463
2010-02-08,10.4595
2010-02-09,10.4713
2010-02-10,10.4471
2010-02-11,10.4336
2010-02-12,10.4358
2010-02-13,10.438
2010-02-14,10.4402
2010-02-15,10.4231
2010-02-16,10.4314
2010-02-17,10.435
2010-02-18,10.4363
2010-02-19,10.4252
2010-02-20,10.4273
2010-02-21,10.4295
2010-02-22,10.4453
2010-02-23,10.4619
2010-02-24,10.461
2010-02-25,10.473
2010-02-26,10.4706
2010-02-27,10.4726
2010-02-28,10.4747
2010-03-01,10.4792
2010-03-02,10.4793
2010-03-03,10.4877
2010-03-04,10.493
2010-03-05,10.4888
2010-03-06,10.4908
2010-03-07,10.4929
2010-03-08,10.4998
2010-03-09,10.5182
2010-03-10,10.5248
2010-03-11,10.5223
2010-03-12,10.5099
2010-03-13,10.512
2010-03-14,10.5142
2010-03-15,10.5158
2010-03-16,10.5179
2010-03-17,10.5609
2010-03-18,10.5766
2010-03-19,10.6023
2010-03-20,10.6044
2010-03-21,10.6065
2010-03-22,10.5856
2010-03-23,10.58
2010-03-24,10.5821
2010-03-25,10.5906
2010-03-26,10.6043
2010-03-27,10.6065
2010-03-28,10.6087
2010-03-29,10.6479
2010-03-30,10.638
2010-03-31,10.6339
2010-04-01,10.641
2010-04-02,10.6432
2010-04-03,10.6455
2010-04-04,10.6477
2010-04-05,10.669
2010-04-06,10.6837
2010-04-07,10.7025
2010-04-08,10.6745
2010-04-09,10.6538
2010-04-10,10.6554
2010-04-11,10.6571
2010-04-12,10.6357
2010-04-13,10.6532
2010-04-14,10.6553
2010-04-15,10.6202
2010-04-16,10.615
2010-04-17,10.6171
2010-04-18,10.6192
2010-04-19,10.6106
2010-04-20,10.6452
2010-04-21,10.6453
2010-04-22,10.6605
2010-04-23,10.6518
2010-04-24,10.654
2010-04-25,10.6552
2010-04-26,10.6574
2010-04-27,10.6583
2010-04-28,10.6666
2010-04-29,10.695
2010-04-30,10.7266
2010-05-01,10.7285
2010-05-02,10.7301
2010-05-03,10.725
2010-05-04,10.7311
2010-05-05,10.755
2010-05-06,10.7621
2010-05-07,10.7493
2010-05-08,10.7514
2010-05-09,10.7532
2010-05-10,10.7785
2010-05-11,10.7831
2010-05-12,10.7888
2010-05-13,10.8051
2010-05-14,10.8748
2010-05-15,10.8768
2010-05-16,10.8786
2010-05-17,10.943
2010-05-18,10.9415
2010-05-19,10.9409
2010-05-20,10.9567
2010-05-21,10.9619
2010-05-22,10.9664
2010-05-23,10.9683
2010-05-24,10.9666
2010-05-25,10.9576
2010-05-26,10.9251
2010-05-27,10.9485
2010-05-28,10.949
2010-05-29,10.9512
2010-05-30,10.952
2010-05-31,10.9593
2010-06-01,10.9497
2010-06-02,10.9727
2010-06-03,10.9724
2010-06-04,11.023
2010-06-05,11.025
2010-06-06,11.0269
2010-06-07,11.0121
2010-06-08,11.0034
2010-06-09,11.0091
2010-06-10,11.0194
2010-06-11,11.0065
2010-06-12,11.0087
2010-06-13,11.0109
2010-06-14,11.0081
2010-06-15,11.0226
2010-06-16,11.044
2010-06-17,11.0477
2010-06-18,11.0655
2010-06-19,11.0677
2010-06-20,11.0698
2010-06-21,11.1148
2010-06-22,11.1059
2010-06-23,11.1049
2010-06-24,11.1099
2010-06-25,11.0884
2010-06-26,11.0905
2010-06-27,11.0927
2010-06-28,11.1281
2010-06-29,11.1248
2010-06-30,11.1492
2010-07-01,11.1384
2010-07-02,11.1281
2010-07-03,11.1303
2010-07-04,11.1324
2010-07-05,11.1074
2010-07-06,11.1329
2010-07-07,11.1437
2010-07-08,11.1596
2010-07-09,11.1657
2010-07-10,11.1679
2010-07-11,11.17
2010-07-12,11.1835
2010-07-13,11.1921
2010-07-14,11.1843
2010-07-15,11.178
2010-07-16,11.1897
2010-07-17,11.1919
2010-07-18,11.1941
2010-07-19,11.1958
2010-07-20,11.1822
2010-07-21,11.1914
2010-07-22,11.2135
2010-07-23,11.2125
2010-07-24,11.2147
2010-07-25,11.2169
2010-07-26,11.2098
2010-07-27,11.1936
2010-07-28,11.189
2010-07-29,11.1751
2010-07-30,11.1497
2010-07-31,11.1519
2010-08-01,11.1541
2010-08-02,11.1491
