Date (MM/DD/YYYY),NSDL Published NAV,Fund Manager Published NAV
10/10/2016,10.0000,10
10/13/2016,10.0000,10
10/14/2016,10.0000,10
10/17/2016,10.0000,10
10/18/2016,10.0000,10
10/19/2016,10.0000,10
10/20/2016,10.0000,10
10/21/2016,10.0000,10
11/03/2016,10.0230,10.023
11/11/2016,10.0370,10.037
12/16/2016,10.1000,10.1
12/30/2016,10.1250,10.125
01/17/2017,10.1580,10.158
01/24/2017,10.1710,10.171
01/31/2017,10.1840,10.184
02/08/2017,10.1990,10.199
02/13/2017,10.2080,10.208
03/01/2017,10.2380,10.238
03/07/2017,10.2490,10.249
03/15/2017,10.2640,10.264
04/07/2017,10.3090,10.309
04/19/2017,10.3310,10.331
05/11/2017,10.3710,10.371
05/18/2017,10.3840,10.384
05/25/2017,10.3970,10.397
06/08/2017,10.4230,10.423
06/23/2017,10.4510,10.451
07/05/2017,10.4740,10.474
07/06/2017,10.4760,10.476
07/19/2017,10.5010,10.501
07/28/2017,10.5180,10.518
08/14/2017,10.5500,10.55
08/21/2017,10.5630,10.563
09/08/2017,10.5960,10.596
10/05/2017,10.6470,10.647
10/11/2017,10.6580,10.658
11/02/2017,10.6990,10.699
11/29/2017,10.8890,10.889
12/20/2017,10.9390,10.939
01/04/2018,11.0330,11.033
01/08/2018,11.0520,11.052
01/12/2018,10.9280,10.928
01/23/2018,10.9570,10.957
02/26/2018,10.9500,10.95
02/28/2018,10.9180,10.918
03/20/2018,11.0450,11.045
03/27/2018,11.1810,11.181
04/06/2018,11.1870,11.187
04/09/2018,11.2360,11.236
04/12/2018,11.2260,11.226
05/07/2018,11.2350,11.235
05/11/2018,11.1290,11.129
05/31/2018,11.1120,11.112
06/06/2018,11.0860,11.086
06/12/2018,11.0940,11.094
08/27/2018,11.3720,11.372
09/25/2018,11.2060,11.206
10/03/2018,11.3240,11.324
10/15/2018,11.2800,11.28
10/26/2018,11.3050,11.305
11/05/2018,11.3170,11.317
11/16/2018,11.3940,11.394
01/04/2019,11.6240,11.624
02/04/2019,11.7230,11.723
03/22/2019,12.0350,12.035
04/03/2019,12.0580,12.058
04/05/2019,12.1000,12.1
04/12/2019,12.0210,12.021
04/25/2019,12.0200,12.02
05/03/2019,12.0880,12.088
05/14/2019,12.1030,12.103
05/15/2019,12.1240,12.124
05/20/2019,12.1600,12.16
05/30/2019,12.2200,12.22
06/11/2019,12.2620,12.262
06/17/2019,12.2940,12.294
06/20/2019,12.2660,12.266
06/27/2019,12.3320,12.332
07/08/2019,12.3660,12.366
07/15/2019,12.3776,12.3775
08/13/2019,12.4540,12.454
09/05/2019,12.5400,12.54
09/06/2019,12.5210,12.521
10/07/2019,12.6670,12.667
10/18/2019,12.7200,12.72
10/31/2019,12.7040,12.704
11/08/2019,12.7660,12.766
11/29/2019,12.8300,12.83
12/11/2019,12.8060,12.806
12/19/2019,12.8600,12.86
01/15/2020,12.8669,15.0194
01/21/2020,12.8876,15.0221
02/05/2020,12.9340,12.934
02/24/2020,12.9970,12.997
05/18/2020,13.5160,13.516
05/20/2020,13.6010,13.601
05/28/2020,13.9350,13.935
06/05/2020,13.9340,13.934
06/23/2020,14.1890,14.189
07/09/2020,14.3970,14.397
07/24/2020,14.3170,14.317
08/04/2020,14.3520,14.352
08/26/2020,14.3650,14.365
09/18/2020,14.4700,14.47
09/25/2020,14.4910,14.491
10/13/2020,14.6090,14.609
10/22/2020,14.5990,14.599
10/28/2020,14.6420,14.642
10/29/2020,14.6440,14.644
11/20/2020,14.7420,14.742
11/23/2020,14.7560,14.756
12/04/2020,14.8390,14.839
01/06/2021,15.1150,15.115
01/13/2021,14.9970,14.997
03/03/2021,15.1360,15.136
03/09/2021,15.1660,15.166
03/15/2021,14.8670,14.867
04/06/2021,14.9550,14.955
05/12/2021,15.2050,15.205
05/18/2021,15.2950,15.295
05/19/2021,15.3170,15.317
06/17/2021,15.4636,15.4635
07/01/2021,15.5340,15.534
07/06/2021,15.5100,15.51
07/15/2021,15.5310,15.531
08/04/2021,15.7250,15.725
