Date (DD-MM-YYYY),NAV
09-08-2021,42.3999
08-08-2021,42.3561
07-08-2021,42.3561
06-08-2021,42.3562
05-08-2021,42.4976
04-08-2021,42.4615
03-08-2021,42.2197
02-08-2021,41.5807
01-08-2021,41.2900
31-07-2021,41.2900
30-07-2021,41.2901
29-07-2021,41.2688
28-07-2021,41.1548
27-07-2021,41.2367
26-07-2021,41.4484
25-07-2021,41.5109
24-07-2021,41.5109
23-07-2021,41.5110
22-07-2021,41.3449
21-07-2021,40.8292
20-07-2021,40.8292
19-07-2021,41.0860
18-07-2021,41.4456
17-07-2021,41.4457
16-07-2021,41.4457
15-07-2021,41.4259
14-07-2021,41.2218
13-07-2021,41.0689
12-07-2021,40.8200
11-07-2021,40.7394
10-07-2021,40.7394
09-07-2021,40.7394
08-07-2021,40.8005
07-07-2021,41.1792
06-07-2021,40.9991
05-07-2021,41.0596
04-07-2021,40.7577
03-07-2021,40.7577
02-07-2021,40.7578
01-07-2021,40.6971
30-06-2021,40.7750
29-06-2021,40.8271
28-06-2021,40.9766
27-06-2021,41.0259
26-06-2021,41.0260
25-06-2021,41.0260
24-06-2021,40.7311
23-06-2021,40.4494
22-06-2021,40.6456
21-06-2021,40.4987
20-06-2021,40.3968
19-06-2021,40.3968
18-06-2021,40.3968
17-06-2021,40.4683
16-06-2021,40.6297
15-06-2021,40.8789
14-06-2021,40.7165
13-06-2021,40.6737
12-06-2021,40.6737
11-06-2021,40.6737
10-06-2021,40.6924
09-06-2021,40.3698
08-06-2021,40.6692
07-06-2021,40.5706
06-06-2021,40.3413
05-06-2021,40.3413
04-06-2021,40.3413
03-06-2021,40.4086
02-06-2021,40.1078
01-06-2021,40.0427
31-05-2021,40.1138
30-05-2021,39.6956
29-05-2021,39.6956
28-05-2021,39.6957
27-05-2021,39.5724
26-05-2021,39.4030
25-05-2021,39.1937
24-05-2021,39.1310
23-05-2021,38.9873
22-05-2021,38.9873
21-05-2021,38.9874
20-05-2021,38.3737
19-05-2021,38.6562
18-05-2021,38.7878
17-05-2021,38.3288
16-05-2021,37.7563
15-05-2021,37.7564
14-05-2021,37.7564
13-05-2021,37.9230
12-05-2021,37.9230
11-05-2021,38.2916
10-05-2021,38.3978
09-05-2021,38.1134
08-05-2021,38.1134
07-05-2021,38.1135
06-05-2021,37.9232
05-05-2021,37.6449
04-05-2021,37.2101
03-05-2021,37.5048
02-05-2021,37.4248
01-05-2021,37.4248
30-04-2021,37.4248
29-04-2021,37.9566
28-04-2021,37.9209
27-04-2021,37.4785
26-04-2021,37.0747
25-04-2021,36.7047
24-04-2021,36.7047
23-04-2021,36.7047
22-04-2021,36.8476
21-04-2021,36.5688
20-04-2021,36.5688
19-04-2021,36.6470
18-04-2021,37.2132
17-04-2021,37.2132
16-04-2021,37.2132
15-04-2021,37.1124
14-04-2021,36.9617
13-04-2021,36.9617
12-04-2021,36.4918
11-04-2021,37.8245
10-04-2021,37.8245
09-04-2021,37.8245
08-04-2021,37.8938
07-04-2021,37.7484
06-04-2021,37.3546
05-04-2021,37.3061
04-04-2021,37.8872
03-04-2021,37.8872
02-04-2021,37.8872
01-04-2021,37.8872
31-03-2021,37.4794
30-03-2021,37.7213
29-03-2021,36.9490
28-03-2021,36.9490
27-03-2021,36.9490
26-03-2021,36.9489
25-03-2021,36.5241
24-03-2021,37.0709
23-03-2021,37.7474
22-03-2021,37.4780
21-03-2021,37.4407
20-03-2021,37.4407
19-03-2021,37.4406
18-03-2021,36.9859
17-03-2021,37.4409
16-03-2021,37.9648
15-03-2021,38.0157
14-03-2021,38.2705
13-03-2021,38.2705
12-03-2021,38.2705
11-03-2021,38.6673
10-03-2021,38.6672
09-03-2021,38.4479
08-03-2021,38.2254
07-03-2021,38.1298
06-03-2021,38.1297
05-03-2021,38.1297
04-03-2021,38.5446
03-03-2021,38.8345
02-03-2021,38.0890
01-03-2021,37.6116
28-02-2021,37.0919
27-02-2021,37.0919
26-02-2021,37.0919
25-02-2021,38.4294
24-02-2021,38.1993
23-02-2021,37.5526
22-02-2021,37.4131
21-02-2021,38.1578
20-02-2021,38.1578
19-02-2021,38.1578
18-02-2021,38.6174
17-02-2021,38.8232
16-02-2021,39.0081
15-02-2021,39.0293
14-02-2021,38.5986
13-02-2021,38.5986
12-02-2021,38.5985
11-02-2021,38.6104
10-02-2021,38.4698
09-02-2021,38.4902
08-02-2021,38.5068
07-02-2021,38.0300
06-02-2021,38.0299
05-02-2021,38.0299
04-02-2021,37.9999
03-02-2021,37.6829
02-02-2021,37.3742
01-02-2021,36.4165
31-01-2021,34.8548
30-01-2021,34.8547
29-01-2021,34.8547
28-01-2021,35.3490
27-01-2021,35.5971
26-01-2021,36.2149
25-01-2021,36.2149
24-01-2021,36.4830
23-01-2021,36.4829
22-01-2021,36.4829
21-01-2021,36.9433
20-01-2021,37.1358
19-01-2021,36.8543
18-01-2021,36.2795
17-01-2021,36.7392
16-01-2021,36.7392
15-01-2021,36.7392
14-01-2021,37.1766
13-01-2021,37.0678
12-01-2021,37.0078
11-01-2021,36.8383
10-01-2021,36.5324
09-01-2021,36.5324
08-01-2021,36.5324
07-01-2021,35.9877
06-01-2021,35.9108
05-01-2021,36.0021
04-01-2021,35.8076
03-01-2021,35.4890
02-01-2021,35.4890
01-01-2021,35.4890
31-12-2020,35.3675
30-12-2020,35.3771
29-12-2020,35.2889
28-12-2020,35.1544
27-12-2020,34.8499
26-12-2020,34.8499
25-12-2020,34.8499
24-12-2020,34.8499
23-12-2020,34.5046
22-12-2020,34.1307
21-12-2020,33.7736
20-12-2020,34.9490
19-12-2020,34.9490
18-12-2020,34.9490
17-12-2020,34.8845
16-12-2020,34.7594
15-12-2020,34.5053
14-12-2020,34.5349
13-12-2020,34.3718
12-12-2020,34.3718
11-12-2020,34.3718
10-12-2020,34.2843
09-12-2020,34.3635
08-12-2020,34.0519
07-12-2020,33.9692
06-12-2020,33.7345
05-12-2020,33.7345
04-12-2020,33.7345
03-12-2020,33.3940
02-12-2020,33.2771
01-12-2020,33.2624
30-11-2020,32.8895
29-11-2020,32.8895
28-11-2020,32.8895
27-11-2020,32.8895
26-11-2020,32.8549
25-11-2020,32.5617
24-11-2020,33.0788
23-11-2020,32.7716
22-11-2020,32.5870
21-11-2020,32.5870
20-11-2020,32.5870
19-11-2020,32.3949
18-11-2020,32.8131
17-11-2020,32.6452
16-11-2020,32.2214
15-11-2020,32.2214
14-11-2020,32.2214
13-11-2020,32.2214
12-11-2020,32.1525
11-11-2020,32.2926
10-11-2020,31.9561
09-11-2020,31.6748
08-11-2020,31.1746
07-11-2020,31.1746
06-11-2020,31.1746
05-11-2020,30.9206
04-11-2020,30.3949
03-11-2020,30.1140
02-11-2020,29.7495
01-11-2020,29.5847
31-10-2020,29.5847
30-10-2020,29.5847
29-10-2020,29.7074
28-10-2020,29.8574
27-10-2020,30.2231
26-10-2020,29.8256
25-10-2020,30.2500
24-10-2020,30.2500
