Date,NAV
09-Aug-21,28.5278
08-Aug-21,28.5421
07-Aug-21,28.5367
06-Aug-21,28.5313
05-Aug-21,28.5941
04-Aug-21,28.5838
03-Aug-21,28.5645
02-Aug-21,28.5602
01-Aug-21,28.5493
31-Jul-21,28.5439
30-Jul-21,28.5386
29-Jul-21,28.5387
28-Jul-21,28.5544
27-Jul-21,28.5539
26-Jul-21,28.5421
25-Jul-21,28.5409
24-Jul-21,28.5356
23-Jul-21,28.5303
22-Jul-21,28.5387
21-Jul-21,28.5406
20-Jul-21,28.5353
19-Jul-21,28.5263
18-Jul-21,28.5040
17-Jul-21,28.4987
16-Jul-21,28.4934
15-Jul-21,28.4441
14-Jul-21,28.4290
13-Jul-21,28.4195
12-Jul-21,28.3988
11-Jul-21,28.4451
10-Jul-21,28.4398
09-Jul-21,28.4345
08-Jul-21,28.4275
07-Jul-21,28.4072
06-Jul-21,28.4126
05-Jul-21,28.4198
04-Jul-21,28.4151
03-Jul-21,28.4096
02-Jul-21,28.4042
01-Jul-21,28.3850
30-Jun-21,28.3797
29-Jun-21,28.3891
28-Jun-21,28.4099
27-Jun-21,28.4563
26-Jun-21,28.4509
25-Jun-21,28.4455
24-Jun-21,28.4391
23-Jun-21,28.4620
22-Jun-21,28.4547
21-Jun-21,28.4654
20-Jun-21,28.4555
19-Jun-21,28.4501
18-Jun-21,28.4447
17-Jun-21,28.4427
16-Jun-21,28.4516
15-Jun-21,28.5339
14-Jun-21,28.5723
13-Jun-21,28.5622
12-Jun-21,28.5569
11-Jun-21,28.5515
10-Jun-21,28.5382
09-Jun-21,28.5099
08-Jun-21,28.4744
07-Jun-21,28.4613
06-Jun-21,28.4392
05-Jun-21,28.4338
04-Jun-21,28.4285
03-Jun-21,28.4273
02-Jun-21,28.4092
01-Jun-21,28.4111
31-May-21,28.4094
30-May-21,28.4138
29-May-21,28.4085
28-May-21,28.4031
27-May-21,28.4136
26-May-21,28.4138
25-May-21,28.4085
24-May-21,28.3771
23-May-21,28.3798
22-May-21,28.3745
21-May-21,28.3691
20-May-21,28.3579
19-May-21,28.3380
18-May-21,28.3139
17-May-21,28.3040
16-May-21,28.3050
15-May-21,28.2996
14-May-21,28.2943
13-May-21,28.2949
12-May-21,28.2895
11-May-21,28.2863
10-May-21,28.2665
09-May-21,28.2763
08-May-21,28.2710
07-May-21,28.2656
06-May-21,28.2651
05-May-21,28.2251
04-May-21,28.1976
03-May-21,28.1961
02-May-21,28.1692
01-May-21,28.1638
30-Apr-21,28.1584
29-Apr-21,28.1383
28-Apr-21,28.1229
27-Apr-21,28.1108
26-Apr-21,28.1010
25-Apr-21,28.0766
24-Apr-21,28.0712
23-Apr-21,28.0658
22-Apr-21,28.0620
21-Apr-21,28.0849
20-Apr-21,28.0796
19-Apr-21,28.0768
18-Apr-21,28.0441
17-Apr-21,28.0389
16-Apr-21,28.0335
15-Apr-21,28.0471
14-Apr-21,28.0817
13-Apr-21,28.0764
12-Apr-21,28.0711
11-Apr-21,28.0532
10-Apr-21,28.0479
09-Apr-21,28.0426
08-Apr-21,28.0235
07-Apr-21,27.9981
06-Apr-21,27.9940
05-Apr-21,27.9544
04-Apr-21,27.9193
03-Apr-21,27.9140
02-Apr-21,27.9086
01-Apr-21,27.9033
31-Mar-21,27.8979
30-Mar-21,27.8903
29-Mar-21,27.8893
28-Mar-21,27.8839
27-Mar-21,27.8785
26-Mar-21,27.8731
25-Mar-21,27.8612
24-Mar-21,27.8427
23-Mar-21,27.7540
22-Mar-21,27.6473
