Date (DD-MM-YYYY),NAV
10-08-2021,23.0733
09-08-2021,23.0737
06-08-2021,23.0556
05-08-2021,23.1395
04-08-2021,23.1332
03-08-2021,23.0946
02-08-2021,23.0344
30-07-2021,22.9862
29-07-2021,22.9973
28-07-2021,22.9866
27-07-2021,22.9912
26-07-2021,23.0025
23-07-2021,22.9782
22-07-2021,22.9619
20-07-2021,22.9332
19-07-2021,22.9334
16-07-2021,22.937
15-07-2021,22.9412
14-07-2021,22.9112
13-07-2021,22.8984
12-07-2021,22.8572
09-07-2021,22.881
08-07-2021,22.8848
07-07-2021,22.8701
06-07-2021,22.8476
05-07-2021,22.917
02-07-2021,22.881
01-07-2021,22.8851
30-06-2021,22.8842
29-06-2021,22.8911
29-06-2021,22.8911
28-06-2021,22.9133
25-06-2021,22.9554
24-06-2021,22.951
23-06-2021,22.9278
22-06-2021,22.9497
21-06-2021,22.9523
18-06-2021,22.9239
17-06-2021,22.9378
16-06-2021,22.9576
15-06-2021,23.0189
14-06-2021,23.0469
11-06-2021,23.038
10-06-2021,23.0039
09-06-2021,22.9616
08-06-2021,22.9711
07-06-2021,22.9507
04-06-2021,22.9057
03-06-2021,22.9125
02-06-2021,22.8874
01-06-2021,22.8812
31-05-2021,22.8928
28-05-2021,22.8763
27-05-2021,22.8827
25-05-2021,22.8507
24-05-2021,22.8332
21-05-2021,22.8162
20-05-2021,22.7384
19-05-2021,22.7512
18-05-2021,22.7488
17-05-2021,22.7199
12-05-2021,22.6608
11-05-2021,22.689
10-05-2021,22.6946
07-05-2021,22.6704
06-05-2021,22.6443
05-05-2021,22.5976
04-05-2021,22.5447
03-05-2021,22.5665
30-04-2021,22.5556
29-04-2021,22.5875
28-04-2021,22.561
27-04-2021,22.5245
26-04-2021,22.4764
23-04-2021,22.4002
22-04-2021,22.4367
20-04-2021,22.3942
19-04-2021,22.4069
19-04-2021,22.4069
19-04-2021,22.4069
16-04-2021,22.4397
15-04-2021,22.4315
09-04-2021,22.5178
08-04-2021,22.5279
07-04-2021,22.4905
06-04-2021,22.4155
05-04-2021,22.3787
31-03-2021,22.3595
30-03-2021,22.3675
26-03-2021,22.2855
25-03-2021,22.2342
24-03-2021,22.2855
23-03-2021,22.2925
22-03-2021,22.2045
19-03-2021,22.1371
18-03-2021,22.0347
17-03-2021,22.0836
16-03-2021,22.1226
15-03-2021,22.1052
12-03-2021,22.1379
10-03-2021,22.1874
09-03-2021,22.166
08-03-2021,22.1585
05-03-2021,22.1401
04-03-2021,22.1882
03-03-2021,22.2199
02-03-2021,22.153
01-03-2021,22.0859
26-02-2021,22.011
25-02-2021,22.1907
24-02-2021,22.1673
23-02-2021,22.1022
22-02-2021,22.0947
18-02-2021,22.2789
17-02-2021,22.3134
16-02-2021,22.3494
15-02-2021,22.3592
12-02-2021,22.3418
11-02-2021,22.3518
10-02-2021,22.3037
09-02-2021,22.2916
08-02-2021,22.3467
05-02-2021,22.2751
04-02-2021,22.3528
03-02-2021,22.2925
02-02-2021,22.231
01-02-2021,22.2432
29-01-2021,22.2879
28-01-2021,22.3425
27-01-2021,22.3531
25-01-2021,22.3947
22-01-2021,22.4071
21-01-2021,22.45
20-01-2021,22.4632
19-01-2021,22.4377
18-01-2021,22.3839
15-01-2021,22.4119
14-01-2021,22.4865
13-01-2021,22.4745
12-01-2021,22.4803
11-01-2021,22.4677
08-01-2021,22.4724
07-01-2021,22.4102
06-01-2021,22.4106
05-01-2021,22.4286
04-01-2021,22.3802
01-01-2021,22.3164
31-12-2020,22.2983
30-12-2020,22.2982
29-12-2020,22.2795
28-12-2020,22.2643
24-12-2020,22.2036
23-12-2020,22.1655
22-12-2020,22.1175
21-12-2020,22.0746
18-12-2020,22.1893
17-12-2020,22.1762
16-12-2020,22.175
15-12-2020,22.1517
14-12-2020,22.1404
11-12-2020,22.1062
10-12-2020,22.1172
09-12-2020,22.1169
08-12-2020,22.0896
07-12-2020,22.0885
04-12-2020,22.0569
03-12-2020,21.99
02-12-2020,21.9784
01-12-2020,21.9721
27-11-2020,21.9443
26-11-2020,21.9541
25-11-2020,21.8998
25-11-2020,21.8998
24-11-2020,21.9303
24-11-2020,21.9303
23-11-2020,21.884
20-11-2020,21.8609
19-11-2020,21.8246
18-11-2020,21.8444
17-11-2020,21.8187
13-11-2020,21.7623
12-11-2020,21.738
11-11-2020,21.7491
10-11-2020,21.696
09-11-2020,21.6845
06-11-2020,21.6393
05-11-2020,21.6093
03-11-2020,21.5065
02-11-2020,21.4932
29-10-2020,21.4743
28-10-2020,21.5005
27-10-2020,21.5396
26-10-2020,21.5213
23-10-2020,21.4783
22-10-2020,21.4348
21-10-2020,21.4293
20-10-2020,21.4017
19-10-2020,21.394
16-10-2020,21.3588
15-10-2020,21.3317
14-10-2020,21.3835
13-10-2020,21.3646
12-10-2020,21.3504
09-10-2020,21.3031
08-10-2020,21.1448
07-10-2020,21.1036
06-10-2020,21.0808
05-10-2020,21.0817
01-10-2020,21.0389
30-09-2020,20.9808
29-09-2020,20.9539
28-09-2020,20.9834
25-09-2020,20.9484
24-09-2020,20.9209
23-09-2020,21.0063
22-09-2020,21.0147
21-09-2020,21.0378
18-09-2020,21.0933
17-09-2020,21.0911
16-09-2020,21.1204
15-09-2020,21.0899
15-09-2020,21.0899
14-09-2020,21.0755
11-09-2020,21.0653
10-09-2020,21.0621
09-09-2020,21.0438
08-09-2020,21.0475
07-09-2020,21.1412
04-09-2020,21.1652
03-09-2020,21.241
02-09-2020,21.2136
01-09-2020,21.1862
31-08-2020,20.9488
28-08-2020,20.9554
27-08-2020,20.9536
26-08-2020,20.9434
25-08-2020,20.9256
24-08-2020,20.8946
21-08-2020,20.963
20-08-2020,21.1244
19-08-2020,21.1402
18-08-2020,21.15
17-08-2020,21.1358
14-08-2020,21.1261
12-08-2020,21.1781
11-08-2020,21.1824
10-08-2020,21.1819
07-08-2020,21.1887
06-08-2020,21.2071
05-08-2020,21.2253
