Date (MM/DD/YYYY),NAV
05/01/2009,10
05/05/2009,10
05/06/2009,10
05/07/2009,10
05/08/2009,10
05/11/2009,10
05/12/2009,10
05/13/2009,10
05/14/2009,10
05/15/2009,10
05/18/2009,10
05/19/2009,10
05/20/2009,10
05/21/2009,10
05/22/2009,10
05/25/2009,10
05/26/2009,10
05/27/2009,10
05/28/2009,10
05/29/2009,10
06/01/2009,10
06/02/2009,10.0015
06/03/2009,10.0027
06/04/2009,10.0041
06/05/2009,10.0056
06/08/2009,10.0065
06/09/2009,10.0074
06/10/2009,10.0089
06/11/2009,10.0104
06/12/2009,10.0117
06/15/2009,10.0162
06/16/2009,10.0176
06/17/2009,10.0191
06/18/2009,10.0206
06/19/2009,10.022
06/22/2009,10.0264
06/23/2009,10.0272
06/24/2009,10.0281
06/25/2009,10.029
06/26/2009,10.0292
06/29/2009,10.0336
06/30/2009,10.0336
07/01/2009,10.0336
07/02/2009,10.1067
07/03/2009,10.146
07/06/2009,10.0652
07/07/2009,10.0622
07/08/2009,10.0971
07/09/2009,10.1007
07/10/2009,10.0788
07/13/2009,10.1026
07/14/2009,10.0859
07/15/2009,10.0735
07/16/2009,10.0889
07/17/2009,10.0683
07/20/2009,10.0268
07/21/2009,10.023
07/22/2009,10.0651
07/23/2009,10.0641
07/24/2009,10.0517
07/27/2009,10.0297
07/28/2009,10.054
07/29/2009,10.0487
07/30/2009,10.0279
07/31/2009,10.0046
08/03/2009,9.9962
08/04/2009,10.0008
08/05/2009,9.974
08/06/2009,9.9813
08/07/2009,9.9916
08/10/2009,9.9816
08/11/2009,10.0041
08/12/2009,10.0094
08/13/2009,10.0049
08/14/2009,9.9943
08/17/2009,10.0069
08/18/2009,9.9941
08/20/2009,9.9943
08/21/2009,9.9943
08/24/2009,9.9817
08/25/2009,9.9843
08/26/2009,10.0124
08/27/2009,9.9882
08/28/2009,9.9862
08/31/2009,9.9788
09/01/2009,9.9808
09/02/2009,9.9826
09/03/2009,9.979
09/04/2009,9.9765
09/07/2009,9.9847
09/08/2009,10.0056
09/09/2009,10.0174
09/10/2009,9.9982
09/11/2009,10.0117
09/14/2009,10.0595
09/15/2009,10.0836
09/16/2009,10.0859
09/17/2009,10.0734
09/18/2009,10.0823
09/22/2009,10.0794
09/23/2009,10.0896
09/24/2009,10.0901
09/25/2009,10.086
09/29/2009,10.0886
09/30/2009,10.0898
10/01/2009,10.0884
10/03/2009,10.0916
10/05/2009,10.0988
10/06/2009,10.0927
10/07/2009,10.091
10/08/2009,10.0945
10/09/2009,10.0885
10/12/2009,10.0869
10/14/2009,10.0873
10/15/2009,10.0888
10/16/2009,10.0865
10/20/2009,10.0897
10/21/2009,10.0941
10/22/2009,10.0929
10/23/2009,10.0906
10/26/2009,10.0971
10/27/2009,10.1
10/28/2009,10.1061
10/29/2009,10.1076
10/30/2009,10.1051
11/03/2009,10.1147
11/04/2009,10.1137
11/05/2009,10.1153
11/06/2009,10.1174
11/09/2009,10.1216
11/10/2009,10.1231
11/11/2009,10.1234
11/12/2009,10.1232
11/13/2009,10.1248
11/16/2009,10.128
11/17/2009,10.1312
11/18/2009,10.1331
11/19/2009,10.1359
11/20/2009,10.1424
11/23/2009,10.1424
11/24/2009,10.1455
11/25/2009,10.1487
11/26/2009,10.151
11/27/2009,10.1504
11/30/2009,10.1511
12/01/2009,10.1506
12/02/2009,10.1519
12/03/2009,10.1508
12/04/2009,10.1488
12/07/2009,10.1535
12/08/2009,10.1459
12/09/2009,10.1303
12/10/2009,10.1132
12/11/2009,10.1097
12/14/2009,10.1172
12/15/2009,10.1042
12/16/2009,10.0822
12/17/2009,10.1032
12/18/2009,10.0798
12/21/2009,10.0829
12/22/2009,10.0953
12/23/2009,10.0987
12/24/2009,10.1057
12/29/2009,10.1019
12/30/2009,10.1105
12/31/2009,10.113
01/04/2010,10.121
01/05/2010,10.1165
01/06/2010,10.1138
01/07/2010,10.1032
01/08/2010,10.1123
01/11/2010,10.1193
01/12/2010,10.113
01/13/2010,10.1237
01/14/2010,10.1488
01/15/2010,10.1412
01/18/2010,10.149
01/19/2010,10.139
01/20/2010,10.1536
01/21/2010,10.1748
01/22/2010,10.1762
01/25/2010,10.1719
01/27/2010,10.1863
01/28/2010,10.1883
01/29/2010,10.1744
02/01/2010,10.1649
02/02/2010,10.1396
02/03/2010,10.1452
02/04/2010,10.1451
02/05/2010,10.154
02/08/2010,10.156
02/09/2010,10.1551
02/10/2010,10.1391
02/11/2010,10.1189
02/15/2010,10.1083
02/16/2010,10.1129
02/17/2010,10.1162
02/18/2010,10.1216
02/19/2010,10.1115
02/22/2010,10.1312
02/23/2010,10.1398
02/24/2010,10.1356
02/25/2010,10.136
02/26/2010,10.1308
03/02/2010,10.1303
03/03/2010,10.1388
03/04/2010,10.145
03/05/2010,10.1421
03/08/2010,10.1419
03/09/2010,10.1609
03/10/2010,10.16
03/11/2010,10.1586
03/12/2010,10.1538
03/15/2010,10.1701
03/17/2010,10.1929
03/18/2010,10.2101
03/19/2010,10.2328
03/22/2010,10.2296
03/23/2010,10.2352
03/25/2010,10.2435
03/26/2010,10.2557
03/29/2010,10.2888
03/30/2010,10.272
03/31/2010,10.248
04/05/2010,10.2699
04/06/2010,10.2776
04/07/2010,10.2918
04/08/2010,10.2938
04/09/2010,10.273
04/12/2010,10.2433
04/13/2010,10.2143
04/15/2010,10.197
04/16/2010,10.1997
04/19/2010,10.2046
04/20/2010,10.2
04/21/2010,10.2326
04/22/2010,10.2303
04/23/2010,10.235
04/26/2010,10.2413
04/27/2010,10.2426
04/28/2010,10.2556
04/29/2010,10.2669
04/30/2010,10.2733
05/03/2010,10.2988
05/04/2010,10.3133
05/05/2010,10.3152
05/06/2010,10.3197
05/07/2010,10.3221
05/10/2010,10.3458
05/11/2010,10.3362
05/12/2010,10.3594
05/13/2010,10.3665
05/14/2010,10.3719
05/17/2010,10.3878
05/18/2010,10.4021
05/19/2010,10.4119
05/20/2010,10.439
05/21/2010,10.4481
05/24/2010,10.4537
05/25/2010,10.4448
05/26/2010,10.4487
05/28/2010,10.4356
05/31/2010,10.424
06/01/2010,10.4286
06/02/2010,10.4328
06/03/2010,10.4387
06/04/2010,10.4299
06/07/2010,10.4359
06/08/2010,10.4413
06/09/2010,10.4517
06/10/2010,10.4468
06/11/2010,10.4389
06/14/2010,10.4324
06/15/2010,10.4078
06/16/2010,10.4239
06/17/2010,10.4463
06/18/2010,10.4387
06/21/2010,10.4645
06/22/2010,10.4698
06/23/2010,10.4743
06/24/2010,10.4744
06/25/2010,10.4811
06/28/2010,10.4695
06/29/2010,10.4838
06/30/2010,10.5021
07/02/2010,10.5095
07/05/2010,10.5095
07/06/2010,10.48
07/07/2010,10.4973
07/08/2010,10.4975
07/09/2010,10.4974
07/12/2010,10.4965
07/13/2010,10.5079
07/14/2010,10.5111
07/15/2010,10.5079
07/16/2010,10.5072
07/19/2010,10.5121
07/20/2010,10.52
07/21/2010,10.5144
07/22/2010,10.5052
07/23/2010,10.5083
07/26/2010,10.5096
07/27/2010,10.5173
07/28/2010,10.5066
07/29/2010,10.5007
07/30/2010,10.488
08/02/2010,10.4788
08/03/2010,10.4725
08/04/2010,10.4525
08/05/2010,10.4546
08/06/2010,10.4406
08/09/2010,10.4724
08/10/2010,10.4751
08/11/2010,10.4755
08/12/2010,10.4724
08/13/2010,10.4793
08/16/2010,10.4827
08/17/2010,10.479
08/18/2010,10.4673
08/20/2010,10.4634
08/23/2010,10.4636
08/24/2010,10.4597
08/25/2010,10.458
