Date (MM/DD/YYYY),NAV
5/1/2009,10
5/5/2009,10
5/6/2009,10
5/7/2009,10
5/8/2009,10
5/11/2009,10
5/12/2009,10
5/13/2009,10
5/14/2009,10
5/15/2009,10
5/18/2009,10
5/19/2009,10
5/20/2009,10
5/21/2009,10
5/22/2009,10
5/25/2009,10
5/26/2009,10
5/27/2009,10
5/28/2009,10
5/29/2009,10.1419
6/1/2009,10.3073
6/2/2009,10.4903
6/3/2009,10.4818
6/4/2009,10.493
6/5/2009,10.5924
6/8/2009,10.6044
6/9/2009,10.3743
6/10/2009,10.6458
6/11/2009,10.8859
6/12/2009,10.8549
6/15/2009,10.7314
6/16/2009,10.5038
6/17/2009,10.5668
6/18/2009,10.2817
6/19/2009,10.0923
6/22/2009,10.2044
6/23/2009,10.108
6/24/2009,10.1317
6/25/2009,10.2243
6/26/2009,10.1031
6/29/2009,10.3916
6/30/2009,10.428
7/1/2009,10.428
7/2/2009,10.3212
7/3/2009,10.3406
7/6/2009,10.5124
7/7/2009,9.938
7/8/2009,10.0192
7/9/2009,9.7427
7/10/2009,9.7498
7/13/2009,9.5761
7/14/2009,9.5171
7/15/2009,9.8218
7/16/2009,10.0926
7/17/2009,10.087
7/20/2009,10.4266
7/21/2009,10.7268
7/22/2009,10.649
7/23/2009,10.487
7/24/2009,10.7707
7/27/2009,10.8795
7/28/2009,10.8883
7/29/2009,10.8666
7/30/2009,10.7484
7/31/2009,10.8831
8/3/2009,11.0367
8/4/2009,11.1703
8/5/2009,11.0987
8/6/2009,11.1305
8/7/2009,10.8742
8/10/2009,10.6276
8/11/2009,10.5493
8/12/2009,10.6278
8/13/2009,10.6002
8/14/2009,10.9432
8/17/2009,10.8938
8/18/2009,10.438
8/20/2009,10.4581
8/21/2009,10.5991
8/24/2009,10.771
8/25/2009,11.0415
8/26/2009,11.0797
8/27/2009,11.1302
8/28/2009,11.1482
8/31/2009,11.2544
9/1/2009,11.1119
9/2/2009,11.0265
9/3/2009,10.9859
9/4/2009,10.9511
9/7/2009,11.0722
9/8/2009,11.3111
9/9/2009,11.363
9/10/2009,11.3838
9/11/2009,11.3972
9/14/2009,11.4245
9/15/2009,11.3763
9/16/2009,11.5727
9/17/2009,11.727
9/18/2009,11.744
9/22/2009,11.7686
9/23/2009,11.8706
9/24/2009,11.8227
9/25/2009,11.8624
9/29/2009,11.7982
9/30/2009,11.909
10/1/2009,12.089
10/3/2009,12.0874
10/5/2009,12.0874
10/6/2009,11.8983
10/7/2009,11.951
10/8/2009,11.853
10/9/2009,11.8907
10/12/2009,11.7565
10/14/2009,12.0121
10/15/2009,12.1616
10/16/2009,12.1438
10/20/2009,12.2285
10/21/2009,12.1625
10/22/2009,12.0433
10/23/2009,11.8723
10/26/2009,11.8917
10/27/2009,11.8334
10/28/2009,11.5407
10/29/2009,11.4927
10/30/2009,11.3162
11/3/2009,11.2239
11/4/2009,10.8754
11/5/2009,11.2198
11/6/2009,11.3103
11/9/2009,11.3847
11/10/2009,11.6222
11/11/2009,11.5821
11/12/2009,11.8651
11/13/2009,11.7448
11/16/2009,11.8508
11/17/2009,11.9824
11/18/2009,11.9918
11/19/2009,11.9725
11/20/2009,11.8181
11/23/2009,11.8181
11/24/2009,12.085
11/25/2009,12.054
11/26/2009,12.0944
11/27/2009,11.8537
11/30/2009,11.7013
12/1/2009,11.9128
12/2/2009,12.1213
12/3/2009,12.1241
12/4/2009,12.1437
12/7/2009,12.0898
12/8/2009,11.9899
12/9/2009,12.1795
12/10/2009,12.0953
12/11/2009,12.1475
12/14/2009,12.1067
12/15/2009,12.0788
12/16/2009,11.908
12/17/2009,11.9287
12/18/2009,11.9276
12/21/2009,11.8001
12/22/2009,11.7172
12/23/2009,11.799
12/24/2009,12.1046
12/29/2009,12.1833
12/30/2009,12.2033
12/31/2009,12.1605
1/4/2010,12.2334
1/5/2010,12.3039
1/6/2010,12.41
1/7/2010,12.4188
1/8/2010,12.3743
1/11/2010,12.331
1/12/2010,12.3409
1/13/2010,12.2497
1/14/2010,12.3045
1/15/2010,12.3647
1/18/2010,12.3454
1/19/2010,12.396
1/20/2010,12.281
1/21/2010,12.272
1/22/2010,11.9747
1/25/2010,11.841
1/27/2010,11.7752
1/28/2010,11.4159
1/29/2010,11.448
2/1/2010,11.4824
2/2/2010,11.5238
2/3/2010,11.3605
2/4/2010,11.5977
2/5/2010,11.3958
2/8/2010,11.1023
2/9/2010,11.199
2/10/2010,11.2748
2/11/2010,11.1912
2/15/2010,11.3542
2/16/2010,11.2957
2/17/2010,11.4204
2/18/2010,11.5552
2/19/2010,11.4936
2/22/2010,11.3935
2/23/2010,11.4183
2/24/2010,11.4498
2/25/2010,11.4227
2/26/2010,11.4251
3/2/2010,11.5695
3/3/2010,11.7868
3/4/2010,11.9514
3/5/2010,11.9327
3/8/2010,11.952
