Date (DD/MM/YYYY),NAV
08/09/2020,10
08/09/2020,10.0003
09/09/2020,10.0012
10/09/2020,10.0015
11/09/2020,10.0024
12/09/2020,10.0024
13/09/2020,10.0023
14/09/2020,10.0049
15/09/2020,10.0058
16/09/2020,10.0066
17/09/2020,10.0075
18/09/2020,10.0083
19/09/2020,10.0083
20/09/2020,10.0083
21/09/2020,10.0108
22/09/2020,10.0117
23/09/2020,10.0126
24/09/2020,10.0134
25/09/2020,10.0143
26/09/2020,10.0143
27/09/2020,10.0143
28/09/2020,10.0169
29/09/2020,10.0178
30/09/2020,10.0186
01/10/2020,10.0195
02/10/2020,10.0195
03/10/2020,10.0195
04/10/2020,10.0195
05/10/2020,10.0229
06/10/2020,10.0238
07/10/2020,10.0246
08/10/2020,10.0255
09/10/2020,10.0263
10/10/2020,10.0263
11/10/2020,10.0263
12/10/2020,10.0289
13/10/2020,10.0298
14/10/2020,10.0306
15/10/2020,10.0315
16/10/2020,10.0323
17/10/2020,10.0323
18/10/2020,10.0323
19/10/2020,10.0349
20/10/2020,10.0357
21/10/2020,10.0365
22/10/2020,10.0373
23/10/2020,10.0381
24/10/2020,10.0381
25/10/2020,10.0381
26/10/2020,10.0406
27/10/2020,10.0413
28/10/2020,10.0421
29/10/2020,10.0429
30/10/2020,10.0429
31/10/2020,10.0429
01/11/2020,10.0429
02/11/2020,10.0462
03/11/2020,10.0470
04/11/2020,10.0478
05/11/2020,10.0486
06/11/2020,10.0493
07/11/2020,10.0493
08/11/2020,10.0493
09/11/2020,10.0517
10/11/2020,10.0525
11/11/2020,10.0533
12/11/2020,10.0540
13/11/2020,10.0548
14/11/2020,10.0548
15/11/2020,10.0547
16/11/2020,10.0547
17/11/2020,10.0575
18/11/2020,10.0583
19/11/2020,10.0590
20/11/2020,10.0597
21/11/2020,10.0596
22/11/2020,10.0596
23/11/2020,10.0619
24/11/2020,10.0627
25/11/2020,10.0634
26/11/2020,10.0641
27/11/2020,10.0648
28/11/2020,10.0648
29/11/2020,10.0648
30/11/2020,10.0648
01/12/2020,10.0679
02/12/2020,10.0686
03/12/2020,10.0693
04/12/2020,10.0701
05/12/2020,10.0701
06/12/2020,10.0701
07/12/2020,10.0724
08/12/2020,10.0732
09/12/2020,10.0740
10/12/2020,10.0749
11/12/2020,10.0757
12/12/2020,10.0757
13/12/2020,10.0757
14/12/2020,10.0782
15/12/2020,10.0790
16/12/2020,10.0798
17/12/2020,10.0807
18/12/2020,10.0815
19/12/2020,10.0815
20/12/2020,10.0815
21/12/2020,10.0841
22/12/2020,10.0850
23/12/2020,10.0858
24/12/2020,10.0867
25/12/2020,10.0867
26/12/2020,10.0867
27/12/2020,10.0867
28/12/2020,10.0901
29/12/2020,10.0909
30/12/2020,10.0918
31/12/2020,10.0926
01/01/2021,10.0933
02/01/2021,10.0933
03/01/2021,10.0933
04/01/2021,10.0957
05/01/2021,10.0964
06/01/2021,10.0972
07/01/2021,10.0981
08/01/2021,10.0989
09/01/2021,10.0989
10/01/2021,10.0989
11/01/2021,10.1015
12/01/2021,10.1024
13/01/2021,10.1032
14/01/2021,10.1040
15/01/2021,10.1048
16/01/2021,10.1048
17/01/2021,10.1048
18/01/2021,10.1073
19/01/2021,10.1082
20/01/2021,10.1091
21/01/2021,10.1099
22/01/2021,10.1107
23/01/2021,10.1107
24/01/2021,10.1107
25/01/2021,10.1133
26/01/2021,10.1133
27/01/2021,10.1150
28/01/2021,10.1159
29/01/2021,10.1168
30/01/2021,10.1168
31/01/2021,10.1167
01/02/2021,10.1193
02/02/2021,10.1202
03/02/2021,10.1211
04/02/2021,10.1219
05/02/2021,10.1228
06/02/2021,10.1228
07/02/2021,10.1227
08/02/2021,10.1253
09/02/2021,10.1262
10/02/2021,10.1270
11/02/2021,10.1279
12/02/2021,10.1287
13/02/2021,10.1287
14/02/2021,10.1287
15/02/2021,10.1312
16/02/2021,10.1320
17/02/2021,10.1328
18/02/2021,10.1333
19/02/2021,10.1333
20/02/2021,10.1333
21/02/2021,10.1333
22/02/2021,10.1360
23/02/2021,10.1368
24/02/2021,10.1376
25/02/2021,10.1383
26/02/2021,10.1392
27/02/2021,10.1392
28/02/2021,10.1391
01/03/2021,10.1418
02/03/2021,10.1426
03/03/2021,10.1434
04/03/2021,10.1442
05/03/2021,10.1451
06/03/2021,10.1450
07/03/2021,10.1450
08/03/2021,10.1477
09/03/2021,10.1486
10/03/2021,10.1494
11/03/2021,10.1494
12/03/2021,10.1512
13/03/2021,10.1512
