NAV,Date (DD/MM/YYYY)
10,08/09/2020
10.0003,08/09/2020
10.0012,09/09/2020
10.0015,10/09/2020
10.0024,11/09/2020
10.0024,12/09/2020
10.0023,13/09/2020
10.0049,14/09/2020
10.0058,15/09/2020
10.0066,16/09/2020
10.0075,17/09/2020
10.0083,18/09/2020
10.0083,19/09/2020
10.0083,20/09/2020
10.0108,21/09/2020
10.0117,22/09/2020
10.0126,23/09/2020
10.0134,24/09/2020
10.0143,25/09/2020
10.0143,26/09/2020
10.0143,27/09/2020
10.0169,28/09/2020
10.0178,29/09/2020
10.0186,30/09/2020
10.0195,01/10/2020
10.0195,02/10/2020
10.0195,03/10/2020
10.0195,04/10/2020
10.0229,05/10/2020
10.0238,06/10/2020
10.0246,07/10/2020
10.0255,08/10/2020
10.0263,09/10/2020
10.0263,10/10/2020
10.0263,11/10/2020
10.0289,12/10/2020
10.0298,13/10/2020
10.0306,14/10/2020
10.0315,15/10/2020
10.0323,16/10/2020
10.0323,17/10/2020
10.0323,18/10/2020
10.0349,19/10/2020
10.0357,20/10/2020
10.0365,21/10/2020
10.0373,22/10/2020
10.0381,23/10/2020
10.0381,24/10/2020
10.0381,25/10/2020
10.0406,26/10/2020
10.0413,27/10/2020
10.0421,28/10/2020
10.0429,29/10/2020
10.0429,30/10/2020
10.0429,31/10/2020
10.0429,01/11/2020
10.0462,02/11/2020
10.0470,03/11/2020
10.0478,04/11/2020
10.0486,05/11/2020
10.0493,06/11/2020
10.0493,07/11/2020
10.0493,08/11/2020
10.0517,09/11/2020
10.0525,10/11/2020
10.0533,11/11/2020
10.0540,12/11/2020
10.0548,13/11/2020
10.0548,14/11/2020
10.0547,15/11/2020
10.0547,16/11/2020
10.0575,17/11/2020
10.0583,18/11/2020
10.0590,19/11/2020
10.0597,20/11/2020
10.0596,21/11/2020
10.0596,22/11/2020
10.0619,23/11/2020
10.0627,24/11/2020
10.0634,25/11/2020
10.0641,26/11/2020
10.0648,27/11/2020
10.0648,28/11/2020
10.0648,29/11/2020
10.0648,30/11/2020
10.0679,01/12/2020
10.0686,02/12/2020
10.0693,03/12/2020
10.0701,04/12/2020
10.0701,05/12/2020
10.0701,06/12/2020
10.0724,07/12/2020
10.0732,08/12/2020
10.0740,09/12/2020
10.0749,10/12/2020
10.0757,11/12/2020
10.0757,12/12/2020
10.0757,13/12/2020
10.0782,14/12/2020
10.0790,15/12/2020
10.0798,16/12/2020
10.0807,17/12/2020
10.0815,18/12/2020
10.0815,19/12/2020
10.0815,20/12/2020
10.0841,21/12/2020
10.0850,22/12/2020
10.0858,23/12/2020
10.0867,24/12/2020
10.0867,25/12/2020
10.0867,26/12/2020
10.0867,27/12/2020
10.0901,28/12/2020
10.0909,29/12/2020
10.0918,30/12/2020
10.0926,31/12/2020
10.0933,01/01/2021
10.0933,02/01/2021
10.0933,03/01/2021
10.0957,04/01/2021
10.0964,05/01/2021
10.0972,06/01/2021
10.0981,07/01/2021
10.0989,08/01/2021
10.0989,09/01/2021
10.0989,10/01/2021
10.1015,11/01/2021
10.1024,12/01/2021
10.1032,13/01/2021
10.1040,14/01/2021
10.1048,15/01/2021
10.1048,16/01/2021
10.1048,17/01/2021
10.1073,18/01/2021
10.1082,19/01/2021
10.1091,20/01/2021
10.1099,21/01/2021
10.1107,22/01/2021
10.1107,23/01/2021
10.1107,24/01/2021
10.1133,25/01/2021
10.1133,26/01/2021
10.1150,27/01/2021
10.1159,28/01/2021
10.1168,29/01/2021
10.1168,30/01/2021
10.1167,31/01/2021
10.1193,01/02/2021
10.1202,02/02/2021
10.1211,03/02/2021
10.1219,04/02/2021
10.1228,05/02/2021
10.1228,06/02/2021
10.1227,07/02/2021
10.1253,08/02/2021
10.1262,09/02/2021
10.1270,10/02/2021
10.1279,11/02/2021
10.1287,12/02/2021
10.1287,13/02/2021
10.1287,14/02/2021
10.1312,15/02/2021
10.1320,16/02/2021
10.1328,17/02/2021
10.1333,18/02/2021
10.1333,19/02/2021
10.1333,20/02/2021
10.1333,21/02/2021
10.1360,22/02/2021
10.1368,23/02/2021
10.1376,24/02/2021
10.1383,25/02/2021
10.1392,26/02/2021
10.1392,27/02/2021
10.1391,28/02/2021
10.1418,01/03/2021
10.1426,02/03/2021
10.1434,03/03/2021
10.1442,04/03/2021
10.1451,05/03/2021
10.1450,06/03/2021
10.1450,07/03/2021
10.1477,08/03/2021
10.1486,09/03/2021
10.1494,10/03/2021
10.1494,11/03/2021
10.1512,12/03/2021
10.1512,13/03/2021
10.1512,14/03/2021
10.2417,15/03/2021
10.2554,16/03/2021
10.2559,17/03/2021
10.2493,18/03/2021
10.2799,19/03/2021
10.2815,20/03/2021
10.2831,21/03/2021
10.2998,22/03/2021
