Date (MM/DD/YYYY),NSDL Published NAV,Fund Manager Published NAV
08/12/2014,13.542,13.5420
03/31/2015,15.4539,15.4538
07/28/2015,15.5484,15.5483
09/14/2015,15.786,15.7860
11/21/2015,16.0835,16.0870
06/18/2016,17.0027,17.0063
06/23/2016,17.0435,17.0434
06/11/2018,19.1307,19.1660
06/11/2018,19.1307,19.1701
06/15/2018,19.2163,19.1718
07/11/2018,19.3026,19.2874
10/16/2018,19.6658,19.6228
10/19/2018,19.6642,19.6541
12/10/2018,20.5431,20.6165
01/04/2019,20.7604,20.7861
01/15/2019,20.8598,20.8825
02/22/2019,20.8927,20.9317
02/25/2019,20.8886,20.9015
07/12/2019,23.0438,23.0304
08/22/2019,23.0175,22.97
01/20/2020,23.4260,23.4218
03/23/2020,23.8875,24.1118
03/23/2020,23.8875,24.1071
03/26/2020,24.0518,23.9317
03/30/2020,24.2790,24.3664
03/30/2020,24.2790,24.3711
04/03/2020,24.1577,24.2979
04/03/2020,24.1577,24.3026
04/07/2020,23.9606,24.1669
04/07/2020,23.9606,24.1715
04/07/2020,23.9606,24.1623
04/13/2020,23.9521,23.9308
04/13/2020,23.9521,23.9262
04/13/2020,23.9521,23.9353
04/15/2020,24.0559,23.9567
07/08/2020,25.5847,25.5389
09/08/2020,25.5433,25.6667
