Date (DD/MM/YYYY),NAV
11/01/2010,10.0000
12/01/2010,9.9426
13/01/2010,10.0188
14/01/2010,10.0192
15/01/2010,10.0412
18/01/2010,10.0437
19/01/2010,9.9591
20/01/2010,9.9557
21/01/2010,9.6953
22/01/2010,9.6023
25/01/2010,9.5521
27/01/2010,9.2843
28/01/2010,9.2794
29/01/2010,9.3486
01/02/2010,9.3796
02/02/2010,9.2875
03/02/2010,9.4042
04/02/2010,9.3625
05/02/2010,9.1079
08/02/2010,9.1122
09/02/2010,9.1596
10/02/2010,9.1448
11/02/2010,9.2271
15/02/2010,9.2201
16/02/2010,9.2742
17/02/2010,9.2940
18/02/2010,9.3721
19/02/2010,9.3178
22/02/2010,9.2581
23/02/2010,9.2767
24/02/2010,9.2977
25/02/2010,9.2769
26/02/2010,9.2974
02/03/2010,9.4251
03/03/2010,9.5953
04/03/2010,9.7058
05/03/2010,9.6955
08/03/2010,9.7185
09/03/2010,9.7656
10/03/2010,9.7357
11/03/2010,9.7576
12/03/2010,9.7868
15/03/2010,9.7917
17/03/2010,9.8761
18/03/2010,9.9740
19/03/2010,10.0004
22/03/2010,10.0323
23/03/2010,9.9261
25/03/2010,9.9632
26/03/2010,10.0291
29/03/2010,10.0696
30/03/2010,10.1079
31/03/2010,10.0313
05/04/2010,10.0813
06/04/2010,10.2201
07/04/2010,10.2269
08/04/2010,10.2404
09/04/2010,10.1126
12/04/2010,10.2184
13/04/2010,10.1761
15/04/2010,10.1490
16/04/2010,10.0547
19/04/2010,10.0337
20/04/2010,9.9440
21/04/2010,9.9941
22/04/2010,10.0219
23/04/2010,10.0677
26/04/2010,10.1334
27/04/2010,10.1674
28/04/2010,10.1409
29/04/2010,9.9652
30/04/2010,10.0382
03/05/2010,10.0826
04/05/2010,9.9780
05/05/2010,9.8362
06/05/2010,9.7911
07/05/2010,9.7265
10/05/2010,9.6029
11/05/2010,9.9354
12/05/2010,9.8254
13/05/2010,9.8613
14/05/2010,9.9024
17/05/2010,9.7436
18/05/2010,9.6831
19/05/2010,9.6978
20/05/2010,9.4223
21/05/2010,9.4769
24/05/2010,9.4460
25/05/2010,9.4708
26/05/2010,9.2371
28/05/2010,9.5915
31/05/2010,9.7077
01/06/2010,9.7386
02/06/2010,9.5560
03/06/2010,9.6528
04/06/2010,9.8022
07/06/2010,9.8496
08/06/2010,9.6577
09/06/2010,9.5695
10/06/2010,9.6138
11/06/2010,9.7747
14/06/2010,9.8513
15/06/2010,10.0000
16/06/2010,10.0533
17/06/2010,10.0732
18/06/2010,10.1259
21/06/2010,10.1022
22/06/2010,10.2743
23/06/2010,10.2052
24/06/2010,10.2160
25/06/2010,10.2132
28/06/2010,10.1159
29/06/2010,10.2366
30/06/2010,10.0957
02/07/2010,10.0865
06/07/2010,10.0563
07/07/2010,10.1538
08/07/2010,10.0631
09/07/2010,10.1752
12/07/2010,10.2835
13/07/2010,10.3459
14/07/2010,10.3679
15/07/2010,10.3436
16/07/2010,10.3293
19/07/2010,10.3560
20/07/2010,10.3420
21/07/2010,10.3078
22/07/2010,10.3671
23/07/2010,10.4474
26/07/2010,10.4646
27/07/2010,10.4052
28/07/2010,10.4251
29/07/2010,10.3625
30/07/2010,10.3829
02/08/2010,10.3050
03/08/2010,10.4277
04/08/2010,10.4419
05/08/2010,10.4971
06/08/2010,10.4561
09/08/2010,10.4405
10/08/2010,10.5264
11/08/2010,10.4802
12/08/2010,10.4028
13/08/2010,10.3951
16/08/2010,10.4618
17/08/2010,10.3977
18/08/2010,10.3931
20/08/2010,10.6330
23/08/2010,10.6175
24/08/2010,10.6416
25/08/2010,10.5675
26/08/2010,10.4895
27/08/2010,10.5181
30/08/2010,10.3858
31/08/2010,10.4007
01/09/2010,10.3752
02/09/2010,10.5089
03/09/2010,10.5375
06/09/2010,10.5241
07/09/2010,10.7058
08/09/2010,10.7600
09/09/2010,10.7696
13/09/2010,10.8346
14/09/2010,11.0503
15/09/2010,11.1207
16/09/2010,11.2546
17/09/2010,11.1849
20/09/2010,11.2955
21/09/2010,11.4749
22/09/2010,11.5288
23/09/2010,11.4931
24/09/2010,11.4342
27/09/2010,11.5486
28/09/2010,11.5803
29/09/2010,11.5689
01/10/2010,11.5670
04/10/2010,11.7564
05/10/2010,11.7809
06/10/2010,11.7554
07/10/2010,11.8283
08/10/2010,11.7092
11/10/2010,11.6772
12/10/2010,11.7361
13/10/2010,11.6529
14/10/2010,11.9223
15/10/2010,11.8151
18/10/2010,11.5992
19/10/2010,11.6209
20/10/2010,11.5284
21/10/2010,11.4423
22/10/2010,11.6798
25/10/2010,11.6132
