Date (DD-MM-YYYY),A1,C1,E1,G1,A2,C2,E2,G2,NPS Lite Scheme
12-08-2021,14.8347,22.0207,32.5708,21.4136,10.0000,20.6611,28.1169,21.6784,10.0000
11-08-2021,14.8065,22.0073,32.4251,21.3891,10.0000,20.6492,27.9930,21.6532,10.0000
10-08-2021,14.8015,22.0123,32.4278,21.3958,10.0000,20.6472,27.9952,21.6618,10.0000
09-08-2021,14.8088,22.0048,32.4085,21.4068,10.0000,20.6277,27.9808,21.6729,10.0000
06-08-2021,14.8262,22.0019,32.3802,21.3808,10.0000,20.6233,27.9561,21.6453,10.0000
05-08-2021,14.8139,22.0559,32.4940,21.4545,10.0000,20.6714,28.0544,21.7207,10.0000
04-08-2021,14.8108,22.0391,32.4703,21.4462,10.0000,20.6578,28.0343,21.7169,10.0000
03-08-2021,14.8085,22.0231,32.2950,21.4379,10.0000,20.6425,27.8827,21.7051,10.0000
02-08-2021,14.7997,22.0276,31.8275,21.4281,10.0000,20.6466,27.4772,21.6976,10.0000
30-07-2021,14.7734,22.0124,31.5730,21.3964,10.0000,20.6318,27.2563,21.6668,10.0000
29-07-2021,14.7556,22.0120,31.6237,21.4004,10.0000,20.6312,27.2996,21.6690,10.0000
28-07-2021,14.7263,22.0204,31.4820,21.4150,10.0000,20.6378,27.1793,21.6812,10.0000
27-07-2021,14.7204,22.0219,31.5133,21.4208,10.0000,20.6413,27.2070,21.6899,10.0000
26-07-2021,14.7208,22.0068,31.7005,21.4251,10.0000,20.6339,27.3684,21.6935,10.0000
23-07-2021,14.7185,21.9960,31.7355,21.3957,10.0000,20.6204,27.3986,21.6671,10.0000
22-07-2021,14.7089,21.9888,31.6326,21.3987,10.0000,20.6204,27.3082,21.6639,10.0000
20-07-2021,14.7355,21.9867,31.2166,21.4220,10.0000,20.6147,26.9514,21.6883,10.0000
19-07-2021,14.7199,21.9714,31.4689,21.3775,10.0000,20.6088,27.1684,21.6494,10.0000
16-07-2021,14.7044,21.9538,31.7325,21.3429,10.0000,20.5924,27.3949,21.6206,10.0000
15-07-2021,14.6822,21.9159,31.7134,21.3690,10.0000,20.5541,27.3801,21.6433,10.0000
14-07-2021,14.6801,21.8985,31.5965,21.3471,10.0000,20.5456,27.2777,21.6314,10.0000
13-07-2021,14.6878,21.8856,31.4909,21.3452,10.0000,20.5321,27.1881,21.6383,10.0000
12-07-2021,14.6738,21.8641,31.3107,21.3263,10.0000,20.5199,27.0330,21.6197,10.0000
09-07-2021,14.6505,21.9007,31.2529,21.3482,10.0000,20.5417,26.9825,21.6402,10.0000
08-07-2021,14.6461,21.8916,31.2891,21.3666,10.0000,20.5356,27.0143,21.6615,10.0000
07-07-2021,14.6510,21.8633,31.5515,21.2973,10.0000,20.5168,27.2408,21.5837,10.0000
06-07-2021,14.6353,21.8661,31.4354,21.2839,10.0000,20.5129,27.1412,21.5639,10.0000
05-07-2021,14.6444,21.8793,31.4797,21.3770,10.0000,20.5227,27.1781,21.6530,10.0000
02-07-2021,14.6037,21.8776,31.2330,21.3668,10.0000,20.5155,26.9649,21.6385,10.0000
01-07-2021,14.6203,21.8693,31.1399,21.3871,10.0000,20.5090,26.8853,21.6688,10.0000
30-06-2021,14.6115,21.8529,31.1880,21.3812,10.0000,20.5047,26.9263,21.6578,10.0000
29-06-2021,14.6312,21.8604,31.2355,21.3755,10.0000,20.5209,26.9675,21.6677,10.0000
28-06-2021,14.6167,21.8768,31.3711,21.3558,10.0000,20.5257,27.0856,21.6454,10.0000
25-06-2021,14.6144,21.9169,31.4014,21.4049,10.0000,20.5576,27.1122,21.6856,10.0000
24-06-2021,14.6044,21.9187,31.2064,21.4452,10.0000,20.5551,26.9440,21.7298,10.0000
23-06-2021,14.5966,21.9066,31.0384,21.4412,10.0000,20.5527,26.7980,21.7256,10.0000
22-06-2021,14.5916,21.9014,31.1918,21.4439,10.0000,20.5498,26.9303,21.7291,10.0000
21-06-2021,14.5798,21.9040,31.1248,21.4599,10.0000,20.5521,26.8728,21.7498,10.0000
18-06-2021,14.5604,21.8880,31.0138,21.4503,10.0000,20.5411,26.7773,21.7374,10.0000
17-06-2021,14.5992,21.8851,31.0874,21.4469,10.0000,20.5430,26.8396,21.7332,10.0000
16-06-2021,14.5699,21.9062,31.2189,21.4528,10.0000,20.5522,26.9519,21.7418,10.0000
