Date (DD-MM-YYYY),NAV
17-08-2020,10.0000
18-08-2020,10.0000
19-08-2020,10.0000
20-08-2020,10.0000
21-08-2020,10.0000
24-08-2020,10.0000
25-08-2020,10.0000
26-08-2020,10.0000
27-08-2020,10.0000
28-08-2020,10.0000
31-08-2020,10.0000
01-09-2020,10.0000
02-09-2020,10.0000
03-09-2020,9.9979
04-09-2020,9.9987
07-09-2020,10.0009
08-09-2020,10.0017
09-09-2020,10.0022
10-09-2020,10.0027
11-09-2020,10.0034
14-09-2020,10.0054
15-09-2020,10.0062
16-09-2020,10.007
17-09-2020,10.0079
18-09-2020,10.0087
21-09-2020,10.0109
22-09-2020,10.0116
23-09-2020,10.0119
24-09-2020,10.0127
25-09-2020,10.0134
28-09-2020,10.0162
29-09-2020,10.0171
30-09-2020,10.0182
01-10-2020,10.0199
05-10-2020,10.0234
06-10-2020,10.0242
07-10-2020,10.0252
08-10-2020,10.0262
09-10-2020,10.0271
12-10-2020,10.0298
13-10-2020,10.0306
14-10-2020,10.0317
15-10-2020,10.0327
16-10-2020,10.0336
19-10-2020,10.0362
20-10-2020,10.0373
21-10-2020,10.0382
22-10-2020,10.0392
23-10-2020,10.0401
26-10-2020,10.0425
27-10-2020,10.0431
28-10-2020,10.0438
29-10-2020,10.0446
02-11-2020,10.0477
03-11-2020,10.0483
04-11-2020,10.0493
05-11-2020,10.0503
06-11-2020,10.0512
09-11-2020,10.0538
10-11-2020,10.0547
11-11-2020,10.0554
12-11-2020,10.0564
13-11-2020,10.0578
17-11-2020,10.0609
18-11-2020,10.0617
19-11-2020,10.0631
20-11-2020,10.0643
23-11-2020,10.0664
24-11-2020,10.067
25-11-2020,10.0677
26-11-2020,10.0688
27-11-2020,10.0700
01-12-2020,10.0728
02-12-2020,10.0729
03-12-2020,10.0730
04-12-2020,10.0736
07-12-2020,10.0761
08-12-2020,10.0768
09-12-2020,10.0773
10-12-2020,10.0779
11-12-2020,10.0789
14-12-2020,10.0813
15-12-2020,10.0820
16-12-2020,10.0826
17-12-2020,10.0832
18-12-2020,10.0841
21-12-2020,10.0862
22-12-2020,10.0869
23-12-2020,10.0875
24-12-2020,10.0959
28-12-2020,10.1054
29-12-2020,10.1056
30-12-2020,10.1102
31-12-2020,10.1158
01-01-2021,10.1186
04-01-2021,10.1383
05-01-2021,10.1405
06-01-2021,10.1310
07-01-2021,10.1316
08-01-2021,10.1312
11-01-2021,10.1271
12-01-2021,10.1213
13-01-2021,10.1176
14-01-2021,10.1223
15-01-2021,10.0992
18-01-2021,10.0959
19-01-2021,10.1099
20-01-2021,10.1229
21-01-2021,10.1190
22-01-2021,10.1121
25-01-2021,10.1179
27-01-2021,10.1078
28-01-2021,10.1087
29-01-2021,10.0827
01-02-2021,10.0197
02-02-2021,9.9958
03-02-2021,10.0366
04-02-2021,10.0674
05-02-2021,10.0367
08-02-2021,10.0664
09-02-2021,10.0365
10-02-2021,10.0578
11-02-2021,10.0913
12-02-2021,10.0824
15-02-2021,10.0728
16-02-2021,10.0738
17-02-2021,10.0561
18-02-2021,10.0257
22-02-2021,9.9460
23-02-2021,9.9572
24-02-2021,9.9949
25-02-2021,9.9810
26-02-2021,9.8881
01-03-2021,9.9360
02-03-2021,9.9649
03-03-2021,9.9819
04-03-2021,9.9810
05-03-2021,9.9488
08-03-2021,9.9458
09-03-2021,9.9337
10-03-2021,9.9364
12-03-2021,9.9061
15-03-2021,9.9067
16-03-2021,9.9206
17-03-2021,9.8950
18-03-2021,9.8838
19-03-2021,9.9557
22-03-2021,9.9898
23-03-2021,10.0297
24-03-2021,10.0140
25-03-2021,9.9887
26-03-2021,10.0151
30-03-2021,10.0381
31-03-2021,10.0319
05-04-2021,10.0558
06-04-2021,10.0728
07-04-2021,10.1170
08-04-2021,10.1503
09-04-2021,10.1375
12-04-2021,10.0786
15-04-2021,10.0621
16-04-2021,10.0668
19-04-2021,10.0482
20-04-2021,10.0420
22-04-2021,10.0733
23-04-2021,10.0774
26-04-2021,10.1073
27-04-2021,10.1275
28-04-2021,10.1380
29-04-2021,10.1454
30-04-2021,10.1294
03-05-2021,10.1380
04-05-2021,10.1277
05-05-2021,10.1477
06-05-2021,10.1752
07-05-2021,10.1771
10-05-2021,10.189
11-05-2021,10.1824
12-05-2021,10.1761
14-05-2021,10.1771
17-05-2021,10.1992
18-05-2021,10.2136
19-05-2021,10.2089
20-05-2021,10.2092
21-05-2021,10.2361
24-05-2021,10.2385
25-05-2021,10.2412
27-05-2021,10.2478
28-05-2021,10.245
31-05-2021,10.2412
01-06-2021,10.2353
02-06-2021,10.2403
03-06-2021,10.2543
04-06-2021,10.2438
07-06-2021,10.2665
08-06-2021,10.2851
09-06-2021,10.2747
10-06-2021,10.3000
11-06-2021,10.3098
14-06-2021,10.3082
15-06-2021,10.2942
16-06-2021,10.2778
17-06-2021,10.2694
18-06-2021,10.2692
21-06-2021,10.2797
22-06-2021,10.2814
23-06-2021,10.2723
24-06-2021,10.2815
25-06-2021,10.278
28-06-2021,10.2482
29-06-2021,10.2418
30-06-2021,10.2546
01-07-2021,10.252
02-07-2021,10.2478
05-07-2021,10.2677
06-07-2021,10.2212
07-07-2021,10.2397
08-07-2021,10.2551
09-07-2021,10.249
12-07-2021,10.2456
13-07-2021,10.259
14-07-2021,10.2616
15-07-2021,10.2708
16-07-2021,10.2663
19-07-2021,10.2601
20-07-2021,10.2651
22-07-2021,10.2763
23-07-2021,10.2829
26-07-2021,10.2809
