Date (DD-MM-YYYY),NAV
12-08-2021,22.0207
11-08-2021,22.0073
10-08-2021,22.0123
09-08-2021,22.0048
06-08-2021,22.0019
05-08-2021,22.0559
04-08-2021,22.0391
03-08-2021,22.0231
02-08-2021,22.0276
30-07-2021,22.0124
29-07-2021,22.0120
28-07-2021,22.0204
27-07-2021,22.0219
26-07-2021,22.0068
23-07-2021,21.9960
22-07-2021,21.9888
20-07-2021,21.9867
19-07-2021,21.9714
16-07-2021,21.9538
15-07-2021,21.9159
14-07-2021,21.8985
13-07-2021,21.8856
12-07-2021,21.8641
09-07-2021,21.9007
08-07-2021,21.8916
07-07-2021,21.8633
06-07-2021,21.8661
05-07-2021,21.8793
02-07-2021,21.8776
01-07-2021,21.8693
30-06-2021,21.8529
29-06-2021,21.8604
28-06-2021,21.8768
25-06-2021,21.9169
24-06-2021,21.9187
23-06-2021,21.9066
22-06-2021,21.9014
21-06-2021,21.9040
18-06-2021,21.8880
17-06-2021,21.8851
16-06-2021,21.9062
15-06-2021,21.9645
14-06-2021,21.9804
11-06-2021,21.9665
10-06-2021,21.9463
09-06-2021,21.9535
08-06-2021,21.9056
07-06-2021,21.9063
04-06-2021,21.8823
03-06-2021,21.8799
02-06-2021,21.8722
01-06-2021,21.8617
31-05-2021,21.8624
28-05-2021,21.8457
27-05-2021,21.8591
25-05-2021,21.8516
24-05-2021,21.8359
21-05-2021,21.8328
20-05-2021,21.8224
19-05-2021,21.8182
18-05-2021,21.7896
17-05-2021,21.7743
14-05-2021,21.7646
12-05-2021,21.7515
11-05-2021,21.7533
10-05-2021,21.7100
07-05-2021,21.7126
06-05-2021,21.7071
05-05-2021,21.7018
04-05-2021,21.6874
03-05-2021,21.6895
30-04-2021,21.6645
29-04-2021,21.6509
28-04-2021,21.6397
27-04-2021,21.6318
26-04-2021,21.6031
23-04-2021,21.5784
22-04-2021,21.5739
20-04-2021,21.5908
19-04-2021,21.5820
16-04-2021,21.5606
15-04-2021,21.5812
12-04-2021,21.6058
09-04-2021,21.5686
08-04-2021,21.5431
07-04-2021,21.5300
06-04-2021,21.5173
05-04-2021,21.4945
31-03-2021,21.4581
30-03-2021,21.4441
26-03-2021,21.4143
25-03-2021,21.3883
24-03-2021,21.3724
23-03-2021,21.2835
22-03-2021,21.2055
19-03-2021,21.1606
18-03-2021,21.1141
17-03-2021,21.0959
16-03-2021,21.0976
15-03-2021,21.0955
12-03-2021,21.1397
10-03-2021,21.1560
09-03-2021,21.1541
08-03-2021,21.1578
05-03-2021,21.1463
04-03-2021,21.1405
03-03-2021,21.1430
02-03-2021,21.1269
01-03-2021,21.1183
26-02-2021,21.1208
25-02-2021,21.1173
24-02-2021,21.1223
23-02-2021,21.1222
22-02-2021,21.1175
18-02-2021,21.2141
17-02-2021,21.1999
16-02-2021,21.2193
15-02-2021,21.2056
12-02-2021,21.2023
11-02-2021,21.1980
10-02-2021,21.1732
09-02-2021,21.1757
08-02-2021,21.2023
05-02-2021,21.1879
04-02-2021,21.2272
03-02-2021,21.2011
02-02-2021,21.2051
01-02-2021,21.2740
29-01-2021,21.4068
28-01-2021,21.3998
27-01-2021,21.3832
25-01-2021,21.3751
22-01-2021,21.3542
21-01-2021,21.3655
20-01-2021,21.3390
19-01-2021,21.3413
18-01-2021,21.3487
15-01-2021,21.3736
