Date (MM/DD/YYYY),E1,C1,G1,A1,E2,C2,G2,A2,Tax Saver Scheme
08/12/2021,17.4066,14.9071,14.2897,12.7334,17.3146,14.3611,13.7444,10,10.6789
08/11/2021,17.2921,14.9006,14.2779,12.7119,17.203,14.3557,13.732,10,10.6564
08/10/2021,17.2963,14.8983,14.2777,12.7169,17.2063,14.3547,13.7331,10,10.648
08/09/2021,17.2848,14.8903,14.2819,12.7311,17.1955,14.3482,13.7386,10,10.648
08/06/2021,17.2796,14.886,14.2633,12.7477,17.1864,14.343,13.7205,10,10.6364
08/05/2021,17.3364,14.9062,14.2984,12.7281,17.2454,14.3727,13.7596,10,10.6538
08/04/2021,17.3245,14.8985,14.2988,12.7373,17.2192,14.3663,13.7579,10,10.6442
08/03/2021,17.2362,14.882,14.2933,12.7651,17.13,14.3577,13.7534,10,10.6353
08/02/2021,16.9594,14.8776,14.287,12.7588,16.861,14.3532,13.7483,10,10.607
07/30/2021,16.8239,14.8677,14.2622,12.7461,16.7297,14.345,13.7289,10,10.5846
07/29/2021,16.8198,14.8674,14.2607,12.7407,16.7224,14.3442,13.7278,10,10.5751
07/28/2021,16.7652,14.8745,14.2669,12.7298,16.68,14.3489,13.7347,10,10.5764
07/27/2021,16.8031,14.8731,14.2715,12.7261,16.7179,14.3482,13.7406,10,10.5819
07/26/2021,16.8933,14.8664,14.2667,12.722,16.8097,14.343,13.7389,10,10.5987
07/23/2021,16.9214,14.8629,14.2538,12.717,16.8404,14.3389,13.7301,10,10.5959
07/22/2021,16.8907,14.8598,14.2524,12.7104,16.811,14.3362,13.7277,10,10.5923
07/20/2021,16.7205,14.8554,14.2649,12.7162,16.6459,14.3309,13.74,10,10.5794
07/19/2021,16.8453,14.8553,14.2459,12.7088,16.7667,14.3304,13.721,10,10.5888
07/16/2021,16.9881,14.8417,14.2288,12.7025,16.9053,14.3166,13.7038,10,10.5871
07/15/2021,16.9923,14.816,14.2371,12.6932,16.9096,14.2923,13.7062,10,10.5781
07/14/2021,16.9182,14.8107,14.2283,12.6911,16.8381,14.279,13.7024,10,10.5638
07/13/2021,16.8837,14.805,14.2303,12.6955,16.8034,14.2733,13.7037,10,10.5535
07/12/2021,16.7691,14.7903,14.2106,12.688,16.6925,14.2602,13.6833,10,10.5269
07/09/2021,16.7647,14.8162,14.2228,12.6779,16.687,14.2796,13.6937,10,10.5298
07/08/2021,16.8197,14.8088,14.2315,12.6754,16.74,14.2739,13.7029,10,10.5419
07/07/2021,16.9547,14.791,14.1889,12.6751,16.8682,14.2597,13.6619,10,10.5292
07/06/2021,16.8948,14.7907,14.174,12.6702,16.8087,14.2601,13.6444,10,10.5061
07/05/2021,16.9144,14.8021,14.2293,12.6737,16.8231,14.2679,13.6957,10,10.5406
07/02/2021,16.8095,14.7988,14.2184,12.6587,16.7242,14.2639,13.6902,10,10.5269
07/01/2021,16.77,14.7906,14.2328,12.6651,16.6863,14.2562,13.7035,10,10.529
06/30/2021,16.7812,14.7794,14.2277,12.6599,16.7008,14.245,13.7035,10,10.5222
06/29/2021,16.8027,14.7921,14.2277,12.6631,16.7223,14.2556,13.7021,10,10.5245
06/28/2021,16.8453,14.8017,14.2135,12.6561,16.7607,14.2649,13.6862,10,10.5104
06/25/2021,16.8861,14.8243,14.2434,12.6517,16.8015,14.2851,13.7119,10,10.514
06/24/2021,16.8155,14.8216,14.2637,12.6498,16.7316,14.2829,13.7292,10,10.5164
06/23/2021,16.7137,14.8214,14.2624,12.6464,16.631,14.2799,13.7284,10,10.5145
06/22/2021,16.7873,14.8201,14.2658,12.6434,16.7039,14.2762,13.7293,10,10.521
06/21/2021,16.7575,14.8179,14.2742,12.6384,16.6743,14.2741,13.7363,10,10.5224
06/18/2021,16.6978,14.8084,14.2696,12.6298,16.6156,14.2658,13.7308,10,10.5274
06/17/2021,16.7127,14.8052,14.2705,12.642,16.6325,14.2658,13.7308,10,10.5278
06/16/2021,16.7769,14.8132,14.2727,12.6308,16.6916,14.2713,13.7321,10,10.54
06/15/2021,16.8745,14.8557,14.2952,12.6564,16.7846,14.3098,13.7566,10,10.5666
06/14/2021,16.8126,14.8707,14.3296,12.6571,16.7222,14.3231,13.7863,10,10.576
06/11/2021,16.7838,14.8595,14.3318,12.6586,16.6941,14.3137,13.791,10,10.567
06/10/2021,16.7289,14.8506,14.3153,12.6606,16.6428,14.3072,13.7724,10,10.5593
06/09/2021,16.614,14.8453,14.3081,12.6485,16.5304,14.2844,13.7641,10,10.5418
06/08/2021,16.723,14.8132,14.302,12.6355,16.6361,14.2638,13.7592,10,10.5473
06/07/2021,16.7154,14.8138,14.2808,12.6268,16.63,14.2634,13.742,10,10.532
06/04/2021,16.6096,14.7958,14.2558,12.6147,16.5238,14.2494,13.7184,10,10.5044
06/03/2021,16.626,14.7969,14.2628,12.6095,16.5378,14.248,13.7248,10,10.5141
06/02/2021,16.5012,14.7859,14.2597,12.61,16.417,14.2416,13.7196,10,10.4978
06/01/2021,16.4913,14.7812,14.2469,12.5994,16.4098,14.2436,13.7075,10,10.4876
05/31/2021,16.5095,14.7823,14.2519,12.5878,16.4297,14.2439,13.7143,10,10.4907
