Date (MM/DD/YYYY),NAV
08/12/2021,14.2897
08/11/2021,14.2779
08/10/2021,14.2777
08/09/2021,14.2819
08/06/2021,14.2633
08/05/2021,14.2984
08/04/2021,14.2988
08/03/2021,14.2933
08/02/2021,14.287
07/30/2021,14.2622
07/29/2021,14.2607
07/28/2021,14.2669
07/27/2021,14.2715
07/26/2021,14.2667
07/23/2021,14.2538
07/22/2021,14.2524
07/20/2021,14.2649
07/19/2021,14.2459
07/16/2021,14.2288
07/15/2021,14.2371
07/14/2021,14.2283
07/13/2021,14.2303
07/12/2021,14.2106
07/09/2021,14.2228
07/08/2021,14.2315
07/07/2021,14.1889
07/06/2021,14.174
07/05/2021,14.2293
07/02/2021,14.2184
07/01/2021,14.2328
06/30/2021,14.2277
06/29/2021,14.2277
06/28/2021,14.2135
06/25/2021,14.2434
06/24/2021,14.2637
06/23/2021,14.2624
06/22/2021,14.2658
06/21/2021,14.2742
06/18/2021,14.2696
06/17/2021,14.2705
06/16/2021,14.2727
06/15/2021,14.2952
06/14/2021,14.3296
06/11/2021,14.3318
06/10/2021,14.3153
06/09/2021,14.3081
06/08/2021,14.302
06/07/2021,14.2808
06/04/2021,14.2558
06/03/2021,14.2628
06/02/2021,14.2597
06/01/2021,14.2469
05/31/2021,14.2519
05/28/2021,14.2831
05/27/2021,14.2979
05/25/2021,14.3076
05/24/2021,14.295
05/21/2021,14.2846
05/20/2021,14.2717
05/19/2021,14.2609
05/18/2021,14.2596
05/17/2021,14.2597
05/14/2021,14.2409
05/12/2021,14.2455
05/11/2021,14.2413
05/10/2021,14.2377
05/07/2021,14.2318
05/06/2021,14.2355
05/05/2021,14.2181
05/04/2021,14.2031
05/03/2021,14.2077
04/30/2021,14.2045
04/29/2021,14.1879
04/28/2021,14.1786
04/27/2021,14.1766
04/26/2021,14.1688
04/23/2021,14.1358
04/22/2021,14.1392
04/20/2021,14.1139
04/19/2021,14.1167
04/16/2021,14.1102
04/15/2021,14.1211
04/12/2021,14.1583
04/09/2021,14.1705
04/08/2021,14.178
04/06/2021,14.1183
04/05/2021,14.0951
03/31/2021,14.0668
03/30/2021,14.0671
03/26/2021,14.0584
03/25/2021,14.0563
03/24/2021,14.0605
03/23/2021,14.0331
03/22/2021,13.9903
03/19/2021,13.9396
03/18/2021,13.8963
03/17/2021,13.8917
03/16/2021,13.8972
03/15/2021,13.8732
03/12/2021,13.8691
03/10/2021,13.8818
03/09/2021,13.8842
03/08/2021,13.8995
03/05/2021,13.903
03/04/2021,13.9234
03/03/2021,13.9148
03/02/2021,13.9174
03/01/2021,13.8942
02/26/2021,13.8593
02/25/2021,13.9223
02/24/2021,13.9341
02/23/2021,13.9121
02/22/2021,13.9187
02/18/2021,13.9659
02/17/2021,14.0018
02/16/2021,14.0253
02/15/2021,14.0253
02/12/2021,14.0526
02/11/2021,14.0575
02/10/2021,14.0281
02/09/2021,14.0027
02/08/2021,14.0595
02/05/2021,14.0422
02/04/2021,14.1101
02/03/2021,14.0795
02/02/2021,14.0431
02/01/2021,14.106
01/29/2021,14.2702
01/28/2021,14.2737
01/27/2021,14.2672
01/25/2021,14.2683
01/22/2021,14.2694
01/21/2021,14.2636
01/20/2021,14.263
01/19/2021,14.2595
01/18/2021,14.2525
01/15/2021,14.2407
01/14/2021,14.2725
01/13/2021,14.2713
01/12/2021,14.2796
01/11/2021,14.2896
01/07/2021,14.3035
01/06/2021,14.3068
01/05/2021,14.3196
01/04/2021,14.3032
01/01/2021,14.2683
12/31/2020,14.2738
12/30/2020,14.2657
12/29/2020,14.2534
12/28/2020,14.2475
12/24/2020,14.2194
12/23/2020,14.2142
12/22/2020,14.2082
12/21/2020,14.2101
12/18/2020,14.2044
12/17/2020,14.2126
12/16/2020,14.215
12/15/2020,14.2168
12/14/2020,14.2091
12/11/2020,14.1937
12/10/2020,14.2047
12/09/2020,14.1998
12/08/2020,14.1895
12/07/2020,14.199
12/04/2020,14.1958
12/03/2020,14.1624
12/02/2020,14.1622
12/01/2020,14.1631
11/27/2020,14.1617
11/26/2020,14.1649
11/25/2020,14.1488
11/24/2020,14.1385
11/23/2020,14.127
11/20/2020,14.1253
11/19/2020,14.1147
11/18/2020,14.1049
11/17/2020,14.0933
11/13/2020,14.0805
11/12/2020,14.0615
11/11/2020,14.0576
11/10/2020,14.0558
11/09/2020,14.0767
11/06/2020,14.0717
11/05/2020,14.064
11/04/2020,14.0432
11/02/2020,14.0507
10/29/2020,14.0492
10/28/2020,14.0645
10/27/2020,14.0722
10/26/2020,14.0731
10/23/2020,14.019
10/22/2020,13.9917
10/21/2020,13.9834
10/20/2020,13.9745
10/19/2020,13.963
10/16/2020,13.9567
10/15/2020,13.966
10/14/2020,13.9606
10/13/2020,13.9595
10/12/2020,13.9529
10/09/2020,13.914
10/08/2020,13.821
10/07/2020,13.8079
10/05/2020,13.8235
09/30/2020,13.7907
09/29/2020,13.7659
09/28/2020,13.7763
09/25/2020,13.782
09/24/2020,13.8009
09/23/2020,13.8018
09/22/2020,13.8028
09/21/2020,13.813
09/18/2020,13.8057
09/17/2020,13.7915
09/16/2020,13.8099
09/15/2020,13.7955
09/14/2020,13.7958
09/11/2020,13.7815
09/10/2020,13.7931
09/09/2020,13.8069
09/08/2020,13.7834
09/07/2020,13.8493
09/04/2020,13.8731
09/03/2020,13.8949
09/02/2020,13.8634
09/01/2020,13.8672
08/31/2020,13.6762
08/28/2020,13.6465
08/26/2020,13.6581
08/24/2020,13.6527
08/21/2020,13.7212
08/20/2020,13.8489
08/19/2020,13.8507
08/18/2020,13.8574
08/17/2020,13.856
08/14/2020,13.854
08/13/2020,13.8875
08/12/2020,13.8826
08/11/2020,13.8809
08/10/2020,13.8891
08/07/2020,13.8916
08/06/2020,13.9093
08/05/2020,13.9408
08/04/2020,13.5535
08/03/2020,13.9229
07/31/2020,13.9155
07/30/2020,13.9255
07/29/2020,13.9253
07/28/2020,13.916
07/27/2020,13.9173
07/24/2020,13.928
07/23/2020,13.9214
07/22/2020,13.9085
07/21/2020,13.9094
07/20/2020,13.9111
07/17/2020,13.9063
07/16/2020,13.9006
07/15/2020,13.8894
07/14/2020,13.8782
07/10/2020,13.8706
07/09/2020,13.8178
07/09/2020,13.8288
07/06/2020,13.7576
07/03/2020,13.7416
07/02/2020,13.744
07/01/2020,13.7355
06/30/2020,13.7045
06/30/2020,13.8891
06/29/2020,13.6798
06/26/2020,13.6612
06/25/2020,13.6492
06/24/2020,13.648
06/24/2020,13.6448
06/22/2020,13.6526
06/19/2020,13.6422
06/18/2020,13.6231
06/17/2020,13.6053
06/16/2020,13.5977
06/15/2020,13.6206
06/12/2020,13.6036
06/11/2020,13.6205
06/10/2020,13.801
06/09/2020,13.6127
06/08/2020,13.6149
06/07/2020,13.7885
06/05/2020,13.5988
06/04/2020,13.5975
06/03/2020,13.5803
06/02/2020,13.5825
06/01/2020,13.5804
05/29/2020,13.6061
05/28/2020,13.6002
05/27/2020,13.5951
05/26/2020,13.5877
05/22/2020,13.5717
05/21/2020,13.4871
05/20/2020,13.481
05/18/2020,13.4636
05/18/2020,13.4857
05/15/2020,13.4511
05/14/2020,13.4536
05/13/2020,13.3661
05/13/2020,13.4051
05/11/2020,13.3577
05/08/2020,13.4658
05/06/2020,13.4237
05/05/2020,13.3812
05/04/2020,13.3363
04/30/2020,13.3003
04/29/2020,13.283
04/28/2020,13.2914
04/27/2020,13.2797
04/24/2020,13.2586
04/23/2020,13.3273
04/22/2020,13.2109
04/21/2020,13.2171
04/20/2020,13.1914
04/17/2020,13.0083
04/16/2020,12.9793
04/15/2020,12.9427
04/13/2020,12.8781
04/09/2020,12.8621
04/08/2020,12.8401
04/07/2020,12.8782
04/03/2020,13.0043
03/31/2020,13.0816
03/30/2020,13.0657
03/27/2020,13.1193
03/26/2020,12.9431
03/24/2020,12.8733
03/23/2020,12.8364
03/20/2020,12.9682
03/19/2020,12.8652
03/18/2020,13.0175
03/17/2020,12.4798
03/16/2020,13.1084
03/13/2020,13.0084
03/12/2020,13.1178
03/11/2020,13.2478
03/11/2020,13.1976
03/06/2020,13.1541
03/05/2020,13.0906
03/04/2020,13.0739
03/03/2020,13.0062
03/02/2020,13.0192
02/28/2020,12.992
02/27/2020,12.9969
02/26/2020,13.0188
02/25/2020,12.9913
02/24/2020,12.9896
02/20/2020,12.9479
02/18/2020,12.9542
02/17/2020,12.9394
02/14/2020,12.9315
02/13/2020,12.8873
02/12/2020,12.8455
02/11/2020,12.8429
02/10/2020,12.8457
02/07/2020,12.8331
02/06/2020,12.8003
02/05/2020,12.7384
02/04/2020,12.7416
02/03/2020,12.7359
01/31/2020,12.632
01/30/2020,12.6336
01/29/2020,12.6347
01/28/2020,12.6458
01/27/2020,12.6568
01/24/2020,12.6398
01/23/2020,12.6244
01/22/2020,12.6072
01/21/2020,12.612
01/20/2020,12.5941
01/17/2020,12.5874
01/16/2020,12.5812
01/15/2020,12.5615
01/14/2020,12.5321
01/13/2020,12.5821
01/10/2020,13.8042
01/08/2020,12.5968
01/07/2020,12.5929
01/06/2020,12.5793
01/03/2020,12.6196
01/02/2020,12.6286
01/01/2020,12.6226
12/31/2019,12.5817
12/30/2019,12.5851
12/27/2019,12.5918
12/26/2019,12.5686
12/24/2019,12.563
12/23/2019,12.5798
12/20/2019,12.551
12/19/2019,12.3809
12/18/2019,12.3907
12/17/2019,12.3689
12/16/2019,12.341
12/13/2019,12.3517
12/13/2019,12.3312
12/11/2019,12.3745
12/10/2019,12.4058
12/10/2019,12.3877
12/06/2019,12.4032
12/05/2019,12.4223
12/04/2019,12.515
12/03/2019,12.4918
12/03/2019,12.5046
11/29/2019,12.4909
11/28/2019,12.4925
11/27/2019,12.4774
11/26/2019,12.4772
11/25/2019,12.4796
11/21/2019,12.4449
11/21/2019,12.4571
11/20/2019,12.4749
11/19/2019,12.4606
11/18/2019,12.4432
11/15/2019,12.4236
11/14/2019,12.4197
11/13/2019,12.4149
11/11/2019,12.3913
11/08/2019,12.3912
11/07/2019,12.4198
11/06/2019,12.4209
11/05/2019,12.4142
11/04/2019,12.4292
11/01/2019,12.4266
10/31/2019,12.4272
10/30/2019,12.4112
10/29/2019,12.4021
10/25/2019,12.3997
10/24/2019,12.4027
10/24/2019,12.4012
10/22/2019,12.3854
10/18/2019,12.3813
10/17/2019,12.372
10/16/2019,12.3916
10/15/2019,12.3745
10/14/2019,12.3777
10/11/2019,12.3504
10/10/2019,12.3862
10/09/2019,12.3976
10/07/2019,12.3858
10/07/2019,12.3871
10/03/2019,12.4275
10/01/2019,12.3629
09/30/2019,12.3097
09/27/2019,12.2653
09/26/2019,12.2629
09/25/2019,12.2459
09/24/2019,12.2583
09/23/2019,12.2585
09/20/2019,12.2101
09/19/2019,12.377
09/18/2019,12.3695
09/17/2019,12.3206
09/16/2019,12.3311
09/13/2019,12.3747
09/12/2019,12.3672
09/11/2019,12.3775
09/09/2019,12.4242
09/06/2019,12.4041
09/05/2019,12.415
09/04/2019,12.4267
09/03/2019,12.4195
08/30/2019,12.38
08/29/2019,12.3941
08/28/2019,12.4099
08/27/2019,12.4451
08/26/2019,12.4331
08/23/2019,12.3688
08/22/2019,12.3729
08/21/2019,12.3504
08/20/2019,12.3322
08/19/2019,12.3247
08/16/2019,12.3566
08/14/2019,12.3027
08/13/2019,12.3807
08/12/2019,12.3971
08/08/2019,12.4697
08/07/2019,12.4537
08/06/2019,12.4389
08/05/2019,12.4253
08/02/2019,12.4395
08/01/2019,12.4
07/31/2019,12.4075
07/30/2019,12.3917
07/29/2019,12.3481
07/29/2019,12.3888
07/26/2019,12.3602
07/24/2019,12.407
07/23/2019,12.3974
07/22/2019,12.4475
07/19/2019,12.4738
07/17/2019,12.4768
07/16/2019,12.5106
07/15/2019,12.456
07/12/2019,12.4155
07/11/2019,12.4157
07/10/2019,12.3703
07/09/2019,12.3255
07/08/2019,12.3294
07/05/2019,12.2431
07/04/2019,12.1777
07/02/2019,12.1148
07/01/2019,12.0836
06/28/2019,12.0797
06/27/2019,12.0691
06/26/2019,12.0439
06/25/2019,12.062
06/24/2019,12.0796
06/21/2019,12.0834
06/20/2019,12.1254
06/19/2019,12.0623
06/18/2019,12.0591
06/17/2019,11.962
06/14/2019,11.9444
06/13/2019,11.8761
06/12/2019,11.87
06/11/2019,11.8448
06/10/2019,11.8358
06/07/2019,11.8726
06/06/2019,11.8878
06/04/2019,11.81
06/03/2019,11.835
05/31/2019,11.786
05/30/2019,11.7129
05/29/2019,11.7158
05/28/2019,11.6924
05/27/2019,11.6636
05/24/2019,11.619
05/23/2019,11.5972
05/22/2019,11.5684
05/21/2019,11.5426
05/20/2019,11.5397
05/17/2019,11.4936
05/16/2019,11.4937
05/15/2019,11.4791
05/14/2019,11.4799
05/13/2019,11.4579
05/10/2019,11.4381
05/09/2019,11.4337
05/08/2019,11.4424
05/07/2019,11.4273
05/06/2019,11.3981
05/06/2019,11.4135
05/02/2019,11.3805
04/30/2019,11.3585
04/26/2019,11.3508
04/25/2019,11.3269
04/24/2019,11.3395
04/23/2019,11.3026
04/22/2019,11.2959
