Date (MM/DD/YYYY),NAV
08/12/2021,14.9071
08/11/2021,14.9006
08/10/2021,14.8983
08/09/2021,14.8903
08/06/2021,14.886
08/05/2021,14.9062
08/04/2021,14.8985
08/03/2021,14.882
08/02/2021,14.8776
07/30/2021,14.8677
07/29/2021,14.8674
07/28/2021,14.8745
07/27/2021,14.8731
07/26/2021,14.8664
07/23/2021,14.8629
07/22/2021,14.8598
07/20/2021,14.8554
07/19/2021,14.8553
07/16/2021,14.8417
07/15/2021,14.816
07/14/2021,14.8107
07/13/2021,14.805
07/12/2021,14.7903
07/09/2021,14.8162
07/08/2021,14.8088
07/07/2021,14.791
07/06/2021,14.7907
07/05/2021,14.8021
07/02/2021,14.7988
07/01/2021,14.7906
06/30/2021,14.7794
06/29/2021,14.7921
06/28/2021,14.8017
06/25/2021,14.8243
06/24/2021,14.8216
06/23/2021,14.8214
06/22/2021,14.8201
06/21/2021,14.8179
06/18/2021,14.8084
06/17/2021,14.8052
06/16/2021,14.8132
06/15/2021,14.8557
06/14/2021,14.8707
06/11/2021,14.8595
06/10/2021,14.8506
06/09/2021,14.8453
06/08/2021,14.8132
06/07/2021,14.8138
06/04/2021,14.7958
06/03/2021,14.7969
06/02/2021,14.7859
06/01/2021,14.7812
05/31/2021,14.7823
05/28/2021,14.7722
05/27/2021,14.7815
05/25/2021,14.7834
05/24/2021,14.7634
05/21/2021,14.7597
05/20/2021,14.7594
05/19/2021,14.7543
05/18/2021,14.7356
05/17/2021,14.7325
05/14/2021,14.7217
05/12/2021,14.7187
05/11/2021,14.7193
05/10/2021,14.6983
05/07/2021,14.7005
05/06/2021,14.6948
05/05/2021,14.6855
05/04/2021,14.6758
05/03/2021,14.6737
04/30/2021,14.6554
04/29/2021,14.6497
04/28/2021,14.642
04/27/2021,14.6363
04/26/2021,14.623
04/23/2021,14.6055
04/22/2021,14.6029
04/20/2021,14.61
04/19/2021,14.5917
04/16/2021,14.5773
04/15/2021,14.5924
04/12/2021,14.6044
04/09/2021,14.5805
04/08/2021,14.5592
04/06/2021,14.5346
04/05/2021,14.5154
03/31/2021,14.4865
03/30/2021,14.4841
03/26/2021,14.479
03/25/2021,14.4675
03/24/2021,14.4552
03/23/2021,14.3974
03/22/2021,14.3414
03/19/2021,14.3147
03/18/2021,14.2944
03/17/2021,14.2813
03/16/2021,14.2791
03/15/2021,14.2739
03/12/2021,14.2854
03/10/2021,14.2889
03/09/2021,14.2869
03/08/2021,14.2897
03/05/2021,14.2947
03/04/2021,14.2911
03/03/2021,14.2926
03/02/2021,14.2955
03/01/2021,14.2845
02/26/2021,14.2867
02/25/2021,14.286
02/24/2021,14.29
02/23/2021,14.2876
02/22/2021,14.2801
02/18/2021,14.358
