Date (MM/DD/YYYY),NSDL Published NAV,Fund Manager Published NAV
07/09/2020,13.9638,13.9525
06/30/2020,13.8189,14.0228
06/24/2020,13.7424,13.7467
06/10/2020,13.5840,14.0586
05/18/2020,13.4549,13.4648
05/13/2020,13.3520,13.3471
03/11/2020,13.1718,13.2138
01/10/2020,12.7394,14.0574
12/13/2019,12.7149,12.7127
12/10/2019,12.7356,12.7644
12/03/2019,12.8537,12.8446
11/21/2019,12.7702,12.753
10/24/2019,12.6352,12.623
10/07/2019,12.5400,12.5512
07/29/2019,12.4148,12.3617
07/26/2019,12.3617,12.3513
05/06/2019,11.7276,11.724
02/22/2019,11.4614,11.1643
01/14/2019,11.4476,11.4122
01/04/2019,11.3782,11.364
07/04/2018,10.8217,10.8213
04/12/2018,10.9486,10.9352
01/09/2018,10.7835,10.8172
07/19/2017,10.2999,10.2826
07/10/2017,10.2675,10.2605
