Date,SM001011,SM002011,SM003011
01/06/2015,,,10.4847
01/13/2015,,,10.4455
02/26/2015,,,10.2554
03/08/2015,,,10.458
03/31/2015,,,12.8478
05/15/2015,,,12.7227
05/29/2015,10.0,10.0,10.0
05/30/2015,10.0,,
05/31/2015,10.0,,
06/01/2015,10.0,10.0,10.0
06/02/2015,10.0,10.0,10.0
06/03/2015,10.0,10.0,10.0
06/04/2015,10.0,10.0,10.0
06/05/2015,9.6094,10.0028,10.0025
06/06/2015,9.6094,10.005,
06/07/2015,9.6094,,
06/08/2015,9.6221,10.0094,10.0091
06/09/2015,9.6257,10.0116,10.0112
06/10/2015,9.6383,10.0138,10.0129
06/11/2015,9.6146,10.016,10.0151
06/12/2015,9.619,10.0182,10.0047
06/13/2015,9.6195,10.0205,
06/14/2015,9.62,,
06/15/2015,9.6357,10.0303,10.0153
06/16/2015,9.6331,10.0317,10.0156
06/17/2015,9.643,10.0441,10.0215
06/18/2015,9.6683,10.0662,10.0316
06/19/2015,9.6846,10.0855,10.0388
06/20/2015,9.6852,10.0877,
06/21/2015,9.6857,,
06/22/2015,9.7246,10.1052,10.042
06/23/2015,9.7163,10.0997,10.0373
06/24/2015,9.7051,10.0887,10.0307
06/25/2015,9.7005,10.0787,10.0259
06/26/2015,9.6926,10.0741,10.0254
06/27/2015,9.6939,10.0762,
06/28/2015,9.6951,,
06/29/2015,9.6846,10.0709,10.0245
06/30/2015,9.7065,10.0904,10.0419
07/01/2015,9.7377,10.1152,10.0567
07/02/2015,9.7479,10.1287,10.0637
07/03/2015,9.762,10.1396,10.0715
07/04/2015,9.7634,10.1417,
07/05/2015,9.7648,,
07/06/2015,9.8169,10.168,10.1179
07/07/2015,9.8199,10.1679,10.1176
07/08/2015,9.8124,10.1609,10.1124
07/09/2015,9.7994,10.1574,10.1023
07/10/2015,9.8097,10.1613,10.1087
07/11/2015,9.811,10.1633,
07/12/2015,9.8123,,
07/13/2015,9.7962,10.154,10.1014
07/14/2015,9.8037,10.1625,10.1098
07/15/2015,9.8117,10.1722,10.1204
07/16/2015,9.8214,10.1787,10.1225
07/17/2015,9.8186,10.1826,10.1279
07/18/2015,9.8202,10.1847,
07/19/2015,9.8217,,
07/20/2015,9.8237,10.1896,10.1221
07/21/2015,9.8206,10.1806,10.1274
07/22/2015,9.8401,10.1969,10.1495
07/23/2015,9.8485,10.2014,10.1567
07/24/2015,9.8414,10.2029,10.149
07/25/2015,9.843,10.2049,
07/26/2015,9.8445,,
