Date,SM001010,SM002010,SM003004
11/01/2012,10,,
11/02/2012,10,,
11/03/2012,10,,
11/04/2012,10.0023,10.0000,
11/05/2012,10.0032,9.9380,10.0001
11/06/2012,10.0176,10.0118,10.0119
11/07/2012,10.0387,10.0219,10.017
11/08/2012,10.0599,10.0212,10.0201
11/09/2012,10.0542,10.0066,10.0162
11/10/2012,10.0558,10.0087,
11/11/2012,10.0574,,
11/12/2012,10.0726,10.0164,10.0232
11/13/2012,10.0746,,
11/14/2012,10.0766,,
11/15/2012,10.0808,10.0258,10.0533
11/16/2012,10.0761,10.0183,10.042
11/17/2012,10.0783,10.0205,
11/18/2012,10.0802,,
11/19/2012,10.0815,10.0288,10.05
11/20/2012,10.0832,10.0134,10.0446
11/21/2012,10.0833,10.0300,10.0525
11/22/2012,10.0644,10.0172,10.0469
11/23/2012,10.0517,10.0033,10.0401
11/24/2012,10.0539,10.0055,
11/25/2012,10.0561,,
11/26/2012,10.0705,10.0212,10.0559
11/27/2012,10.0735,10.0116,10.0713
11/28/2012,10.0757,,
11/29/2012,10.0814,10.0575,10.0801
11/30/2012,10.1148,10.0858,10.1255
12/01/2012,10.117,10.0881,
12/02/2012,10.1192,,
12/03/2012,10.129,10.0674,10.1353
12/04/2012,10.1419,10.0807,10.1521
12/05/2012,10.1522,10.1193,10.1585
12/06/2012,10.1684,10.1271,10.1662
12/07/2012,10.1714,10.1333,10.1729
12/08/2012,10.1735,10.1355,
12/09/2012,10.1756,,
12/10/2012,10.1751,10.1402,10.178
12/11/2012,10.1738,10.1434,10.1647
12/12/2012,10.177,10.1459,10.1815
12/13/2012,10.1803,10.1434,10.1774
12/14/2012,10.185,10.1558,10.194
12/15/2012,10.1872,10.1581,
12/16/2012,10.1895,,
12/17/2012,10.1886,10.1581,10.1829
12/18/2012,10.1884,10.1703,10.2041
12/19/2012,10.1893,10.1748,10.2023
12/20/2012,10.1834,10.1741,10.2001
12/21/2012,10.186,10.1703,10.1966
12/22/2012,10.1882,10.1726,
12/23/2012,10.1904,,
12/24/2012,10.201,10.1901,10.2102
12/25/2012,10.2032,,
12/26/2012,10.216,10.2040,10.2231
12/27/2012,10.2196,10.2064,10.2294
12/28/2012,10.24,10.2295,10.2418
12/29/2012,10.2426,10.2317,
12/30/2012,10.2436,,
12/31/2012,10.2669,10.2555,10.2688
01/01/2013,10.3321,10.3073,10.3237
01/02/2013,10.3426,10.3155,10.3304
01/03/2013,10.368,10.3500,10.3399
01/04/2013,10.399,10.3757,10.3784
01/05/2013,10.4012,10.3779,
01/06/2013,10.4034,,
01/07/2013,10.4317,10.4201,10.4059
01/08/2013,10.4394,10.3840,10.3785
01/09/2013,10.4418,10.3681,10.3719
01/10/2013,10.4561,10.3984,10.4104
01/11/2013,10.4726,10.3973,10.4146
01/12/2013,10.4736,10.3973,
01/13/2013,10.4746,,
01/14/2013,10.5227,10.3973,10.5494
01/15/2013,10.5167,10.3973,10.53
01/16/2013,10.4804,10.3973,10.4865
01/17/2013,10.4965,10.3973,10.4927
01/18/2013,10.493,10.3973,10.486
01/19/2013,10.495,10.3973,
01/20/2013,10.497,,
01/21/2013,10.4949,10.3973,10.4883
01/22/2013,10.4963,10.3973,10.48
01/23/2013,10.4798,10.3973,10.4611
01/24/2013,10.477,10.3973,10.438
01/25/2013,10.4873,,
01/26/2013,10.4895,10.3973,
01/27/2013,10.4917,,
01/28/2013,10.4939,10.3973,10.476
01/29/2013,10.501,10.3973,10.4888
01/30/2013,10.4853,10.3973,10.4684
01/31/2013,10.4588,10.3973,10.465
02/01/2013,10.4579,10.3973,10.4607
02/02/2013,10.4602,10.3973,
02/03/2013,10.4624,,
