Date,SM001001,SM002001,SM003001
03/31/2008,10.0,,
04/01/2008,10.0,10.0,
04/02/2008,10.0008,10.002,
04/03/2008,10.0037,10.0045,
04/04/2008,10.0057,10.0063,
04/05/2008,10.0078,10.0082,
04/06/2008,10.0098,,
04/07/2008,10.0116,10.0117,
04/08/2008,10.0132,10.0135,
04/09/2008,10.0153,10.0155,
04/10/2008,10.0174,10.0176,
04/11/2008,10.0196,10.0197,
04/12/2008,10.0219,10.0218,
04/13/2008,10.0241,,
04/14/2008,10.0263,,
04/15/2008,10.0286,10.0281,
04/16/2008,10.0309,10.0302,
04/17/2008,10.0332,10.0321,
04/18/2008,10.0354,,
04/19/2008,10.0377,10.0361,
04/20/2008,10.04,,
04/21/2008,10.0419,10.0401,
04/22/2008,10.0443,10.0421,
04/23/2008,10.0466,10.0441,
04/24/2008,10.049,10.0459,
04/25/2008,10.0513,10.0476,
04/26/2008,10.0536,10.0495,
04/27/2008,10.056,,
04/28/2008,10.0587,10.053,
04/29/2008,10.0611,10.0552,
04/30/2008,10.0634,10.0574,
05/01/2008,10.0658,10.0589,
05/02/2008,10.0681,10.0638,
05/03/2008,10.0704,10.0658,
05/04/2008,10.0726,,
05/05/2008,10.0749,10.0714,
05/06/2008,10.0773,10.0727,
05/07/2008,10.0796,10.0729,
05/08/2008,10.0819,10.0759,
05/09/2008,10.0843,10.0799,
05/10/2008,10.0866,10.0821,
05/11/2008,10.0889,,
05/12/2008,10.0913,10.0885,
05/13/2008,10.0936,10.0898,
05/14/2008,10.096,10.0906,
05/15/2008,10.0983,10.0921,
05/16/2008,10.1006,10.0936,
05/17/2008,10.103,10.0958,
05/18/2008,10.1053,,
05/19/2008,10.1076,10.1003,
05/20/2008,10.11,,
05/21/2008,10.1123,10.1043,
05/22/2008,10.1146,10.101,
05/23/2008,10.117,10.1031,
05/24/2008,10.1195,10.1054,
05/25/2008,10.1218,,
05/26/2008,10.1241,10.1138,
05/27/2008,10.1264,10.1125,
05/28/2008,10.1288,10.1119,
05/29/2008,10.1311,10.1141,
05/30/2008,10.1325,10.1144,
05/31/2008,10.1349,10.1168,
06/01/2008,10.1372,,
06/02/2008,10.1395,10.1346,
06/03/2008,10.1418,10.1272,
06/04/2008,10.1441,10.1249,
06/05/2008,10.1464,10.1288,
06/06/2008,10.1487,10.1263,
06/07/2008,10.151,10.1286,
06/08/2008,10.1533,,
06/09/2008,10.1556,10.1284,
06/10/2008,10.1579,10.1295,
06/11/2008,10.1602,10.1331,
06/12/2008,10.1626,10.131,
06/13/2008,10.1648,10.119,
06/14/2008,10.1671,10.1213,
06/15/2008,10.1693,,
06/16/2008,10.1717,10.1311,
06/17/2008,10.1741,10.1333,
06/18/2008,10.1765,10.1366,
06/19/2008,10.1789,10.1173,
06/20/2008,10.1812,10.0802,
06/21/2008,10.1836,10.0826,
06/22/2008,10.1859,,
06/23/2008,10.1883,10.0769,
06/24/2008,10.1907,10.0737,
06/25/2008,10.1931,10.0182,
06/26/2008,10.1955,10.0229,
06/27/2008,10.1979,10.0148,
06/28/2008,10.2004,10.0173,
06/29/2008,10.2028,,
06/30/2008,10.2052,10.0133,
07/01/2008,10.2076,10.0082,
07/02/2008,10.21,9.9909,
07/03/2008,10.2125,9.9838,
07/04/2008,10.2149,9.9722,
07/05/2008,10.2173,9.9746,
07/06/2008,10.2197,,
07/07/2008,10.2221,9.981,
07/08/2008,10.2246,9.9545,
07/09/2008,10.227,9.9534,
07/10/2008,10.2294,9.945,
07/11/2008,10.2319,9.9501,
07/12/2008,10.2344,9.9526,
07/13/2008,10.2369,,
07/14/2008,10.2394,9.9502,
07/15/2008,10.2419,9.9485,
07/16/2008,10.2444,9.9541,
07/17/2008,10.2469,9.9684,
07/18/2008,10.2494,9.9869,
07/19/2008,10.252,9.9894,
07/20/2008,10.2545,,
07/21/2008,10.2571,9.9962,
07/22/2008,10.2596,10.0071,
07/23/2008,10.2622,10.0163,
07/24/2008,10.2647,10.0439,
07/25/2008,10.2678,10.0324,
07/26/2008,10.2702,10.0349,
07/27/2008,10.2725,,
07/28/2008,10.2749,10.0521,
07/29/2008,10.2774,10.0106,
07/30/2008,10.2789,10.0148,
07/31/2008,10.2815,10.0157,
08/01/2008,10.2839,10.0251,
08/02/2008,10.2866,10.0276,
08/03/2008,10.2892,,
08/04/2008,10.2918,10.034,
08/05/2008,10.2944,10.058,
08/06/2008,10.2967,10.0575,
08/07/2008,10.2994,10.0348,
08/08/2008,10.302,10.0357,
08/09/2008,10.3046,10.0381,
08/10/2008,10.3072,,
08/11/2008,10.3092,10.0758,
08/12/2008,10.3118,10.0908,
08/13/2008,10.3144,10.0732,
08/14/2008,10.317,10.0683,
08/15/2008,10.3197,,
08/16/2008,10.3223,10.0731,
08/17/2008,10.325,,
08/18/2008,10.3277,10.0818,
08/19/2008,10.3304,10.0842,
08/20/2008,10.333,10.0755,
08/21/2008,10.3357,10.0666,
08/22/2008,10.3384,10.0783,
08/23/2008,10.341,10.0808,
08/24/2008,10.3437,,
08/25/2008,10.3463,10.0836,
08/26/2008,10.349,10.1031,
08/27/2008,10.3516,10.0988,
08/28/2008,10.3542,10.1214,
08/29/2008,10.3569,10.1241,
08/30/2008,10.3585,10.1259,
08/31/2008,10.3612,,
