Date,SM001002,SM002002,SM003002
06/25/2009,10,10.0000,
06/26/2009,10,10.0014,
06/27/2009,10,10.0028,
06/28/2009,10,,
06/29/2009,10,10.0055,
06/30/2009,10,10.0073,
07/01/2009,10,10.0091,
07/02/2009,10,10.0103,
07/03/2009,10,10.0117,
07/04/2009,10,10.0126,
07/05/2009,10,,
07/06/2009,10,10.0149,
07/07/2009,10,10.0162,
07/08/2009,10,10.0176,
07/09/2009,10,10.0191,
07/10/2009,10,10.0204,
07/11/2009,10,10.0218,
07/12/2009,10,,
07/13/2009,10,10.0247,
07/14/2009,10,10.0261,
07/15/2009,10,10.0275,
07/16/2009,10,10.0289,
07/17/2009,9.9999,10.0302,
07/18/2009,9.9999,10.0315,
07/19/2009,9.9999,,
07/20/2009,9.9998,10.0342,
07/21/2009,9.9998,10.0356,
07/22/2009,9.9998,10.0369,
07/23/2009,9.9998,10.0383,
07/24/2009,9.9998,10.0396,
07/25/2009,9.9998,10.0404,
07/26/2009,9.9998,,
07/27/2009,9.9998,10.0424,
07/28/2009,9.9998,10.0439,
07/29/2009,9.9998,10.0452,
07/30/2009,9.9998,10.0466,
07/31/2009,9.9998,10.0480,
08/01/2009,9.9998,10.0493,
08/02/2009,9.9997,,
08/03/2009,9.9997,10.0518,
08/04/2009,9.9997,10.0530,
08/05/2009,9.9997,10.0543,
08/06/2009,9.9997,,
08/07/2009,9.9997,,
08/08/2009,9.9997,10.0579,
08/09/2009,9.9997,,
08/10/2009,9.9997,10.0605,
08/11/2009,9.9997,10.0618,
08/12/2009,9.9997,10.0631,
08/13/2009,9.9997,10.0643,
08/14/2009,9.9997,10.1460,
08/15/2009,9.9997,10.1466,
08/16/2009,9.9997,,
08/17/2009,9.9997,10.1479,
08/18/2009,9.9997,10.1485,
08/19/2009,9.9997,,
08/20/2009,9.9997,10.1498,
08/21/2009,9.9997,10.1511,
08/22/2009,9.9997,10.1525,
08/23/2009,9.9997,,
08/24/2009,9.9997,10.1552,
08/25/2009,9.9997,10.1565,
08/26/2009,9.9997,10.1577,
08/27/2009,9.9997,10.1588,
08/28/2009,9.9997,10.1600,
08/29/2009,9.9997,10.1611,
08/30/2009,9.9997,,
08/31/2009,9.9997,10.1635,
09/01/2009,9.9997,10.1639,
09/02/2009,9.9997,10.1648,
09/03/2009,9.9997,10.1655,
09/04/2009,9.9997,10.1695,
09/05/2009,9.9997,10.1706,
