Date,SM001009,SM002009,SM003003,SM004007,SM005007,SM006007,SM007007,SM008007,SM009007
09/16/2010,10.0,,,10.0,,,,,
09/17/2010,10.0,,,10.0,,,,,
09/18/2010,10.0,,,,,,,,
09/19/2010,10.0,,,,,,,,
09/20/2010,10.0,,,10.0,,,,,
09/21/2010,10.0,,,10.0,,,,,
09/22/2010,10.0,,,10.0,,,,,
09/23/2010,10.0,,,,,,,,
09/24/2010,10.0,,,10.0,,,,,
09/25/2010,10.0,,,,,,,,
09/26/2010,10.0,,,,,,,,
09/27/2010,10.0,,,10.0,,,,,
09/28/2010,10.0,,,10.0,,,,,
09/29/2010,10.0,,,10.0,,,,,
09/30/2010,10.0,,,,,,,,
10/01/2010,10.0,,,10.0,,,,,
10/02/2010,10.0,,,,,,,,
10/03/2010,10.0,,,,,,,,
10/04/2010,10.0,10.0,,,,,,,
10/05/2010,10.0,10.0,,10.0,,,,,
10/06/2010,10.0,10.0,,,,,,,
10/07/2010,10.0,10.0,,10.0,,,,,
10/08/2010,10.0,10.0,,10.0,,,,,
10/09/2010,10.0,10.0,,,,,,,
10/10/2010,10.0,,,,,,,,
10/11/2010,10.0,10.0,,10.0,,,,,
10/12/2010,10.0,10.0,,10.0,,,,,
10/13/2010,10.0007,10.0,,10.0,,,,,
10/14/2010,10.002,10.0,,10.0,,,,,
10/15/2010,10.0033,10.0,,10.0,,,,,
10/16/2010,10.0046,10.0,,,,,,,
10/17/2010,10.0046,,,,,,,,
10/18/2010,10.0046,10.0,,10.0,,,,,
10/19/2010,10.0069,9.9991,,10.0,,,,,
10/20/2010,10.0077,10.0008,,10.0,,,,,
10/21/2010,10.0092,10.0025,,10.0,,,,,
10/22/2010,10.0105,10.0042,,10.0,,,,,
10/23/2010,10.0118,10.0059,,,,,,,
10/24/2010,10.0118,,,,,,,,
10/25/2010,10.0118,10.0093,,10.0,,,,,
10/26/2010,10.0157,10.011,,10.0,,,,,
10/27/2010,10.0173,10.0127,,10.0,,,,,
10/28/2010,10.0189,10.0144,10.013,10.0,,,,,
10/29/2010,10.0205,10.016,10.015,10.0,,,,,
10/30/2010,10.0222,10.0177,,,,,,,
10/31/2010,10.0222,,,,,,,,
11/01/2010,10.0222,10.0212,10.0209,10.0,,,,,
11/02/2010,10.0273,10.0228,10.0228,10.0,,,,,
11/03/2010,10.0288,10.0246,10.0246,,,,,,
11/04/2010,10.0302,10.0263,10.0264,10.0,,,,,
11/05/2010,10.0317,,,,,,,,
11/06/2010,10.0317,10.0297,,,,,,,
11/07/2010,10.0317,,,,,,,,
11/08/2010,10.0317,10.0331,10.0337,10.0,,,,,
11/09/2010,10.0375,10.0349,10.0356,,,,,,
11/10/2010,10.0386,10.0364,10.0369,10.0,,,,,
11/11/2010,10.0363,10.0381,10.0383,10.0,,,,,
11/12/2010,10.0383,10.0398,10.0396,10.0,,,,,
11/13/2010,10.0404,10.0415,,,,,,,
11/14/2010,10.0421,,,,,,,,
11/15/2010,10.0519,10.0449,10.0438,10.0,,,,,
11/16/2010,10.0506,10.0466,10.0458,10.0,,,,,
11/17/2010,10.0526,,,,,,,,
11/18/2010,10.0541,10.0499,10.0494,10.0,,,,,
11/19/2010,10.0564,10.0516,10.0521,,,,,,
11/20/2010,10.0585,10.0533,,,,,,,
11/21/2010,10.0602,,,,,,,,
11/22/2010,10.053,10.0567,10.0578,10.0,,,,,
11/23/2010,10.0491,10.0584,10.0598,10.0,,,,,
11/24/2010,10.0574,10.0601,10.0618,10.0,,,,,
11/25/2010,10.0597,10.0618,10.0635,10.0,,,,,
11/26/2010,10.056,10.0634,10.0654,10.0,,,,,
11/27/2010,10.0584,10.0652,,,,,,,
11/28/2010,10.0607,,,,,,,,
11/29/2010,10.296,10.0686,,10.0,,,,,
11/30/2010,10.2984,10.0703,10.0727,10.0,,,,,
12/01/2010,10.2947,10.072,10.0745,10.0,,,,,
