Date,SM001004,SM002004,SM003006,SM004002,SM005002,SM006002,SM007002,SM008002,SM009002,SM010002,SM011002,SM012002,SM013002,SM014002
05/01/2009,,,,10.0,,,,,,,,,,
05/05/2009,,,,10.0,,,,,,,,,,
05/06/2009,,,,10.0,,,,,,,,,,
05/07/2009,,,,10.0,,,,,,,,,,
05/08/2009,,,,10.0,,,,,,,,,,
05/11/2009,,,,10.0,,,,,,,,,,
05/12/2009,,,,10.0,,,,,,,,,,
05/13/2009,,,,10.0,,,,,,,,,,
05/14/2009,,,,10.0,,,,,,,,,,
05/15/2009,10.0,,,10.0,10.0,,,,,,,,,
05/16/2009,10.0,,,,10.0,,,,,,,,,
05/17/2009,10.0,,,,10.0,,,,,,,,,
05/18/2009,10.0,,,10.0,10.0,,10.0,,,,,,,
05/19/2009,10.0,,,10.0,10.0,,10.0,,,,,,,
05/20/2009,10.0,,,10.0,10.0,,10.0,,,,,,,
05/21/2009,10.0,10.0,,10.0,10.0,,10.0,,,,,,,
05/22/2009,10.0,10.0,,10.0,10.0,,10.0,,,,,,,
05/23/2009,10.0,10.0,,,10.0,,,,,,,,,
05/24/2009,10.0,,,,10.0,,,,,,,,,
05/25/2009,10.0,10.0,,10.0,10.0,,10.0,,,,,,,
05/26/2009,10.0,10.0,,10.0,10.0,,10.0,,,,,,,
05/27/2009,10.0,10.0,,10.0,10.0,,10.0,,,,,,,
05/28/2009,10.0,10.0,,10.0,10.0,,10.0,,,,,,,
05/29/2009,10.0,10.0,,10.0015,10.0,,10.0,,,,,,,
05/30/2009,10.0,10.0,,,10.0,,,,,,,,,
05/31/2009,10.0,,,,10.0,,,,,,,,,
06/01/2009,10.0,10.0,,10.005,10.0,,10.0,,,,,,,
06/02/2009,10.0,9.9986,,10.0065,10.0,,10.0,,,,,,,
06/03/2009,10.0,10.0,,10.0076,10.0,,10.0,,,,,,,
06/04/2009,10.0012,10.0013,,10.0091,10.0,,10.0,,,,,,,
06/05/2009,10.0039,10.0024,,10.0106,10.0,,10.0,,,,,,,
06/06/2009,10.0084,10.0035,,,10.0,,,,,,,,,
06/07/2009,10.0137,,,,10.0,,,,,,,,,
06/08/2009,10.0208,10.0058,,10.0115,10.0,,10.0,,,,,,,
06/09/2009,10.0216,10.0072,,10.0127,10.0,,10.0,,,,,,,
06/10/2009,10.0237,10.0085,,10.0142,10.0012,,10.0,,,,,,,
06/11/2009,10.0259,10.01,,10.0157,10.0023,,10.0,,,,,,,
06/12/2009,10.0291,10.0114,,10.0171,10.0035,,10.0012,,,,,,,
06/13/2009,10.0335,10.0126,,,10.0046,,,,,,,,,
06/14/2009,10.0384,,,,10.0057,,,,,,,,,
06/15/2009,10.0443,10.015,,10.0216,10.0069,,10.0035,,,,,,,
06/16/2009,10.0513,10.0164,,10.023,10.008,,10.0045,,,,,,,
06/17/2009,10.0594,10.0178,,10.0245,10.009,,10.0052,,,,,,,
06/18/2009,10.0686,10.0191,,10.026,10.0101,,10.0069,,,,,,,
06/19/2009,10.0789,10.0206,,10.0274,10.0112,,10.0079,,,,,,,
06/20/2009,10.1035,10.0219,,,10.0123,,10.0079,,,,,,,
06/21/2009,10.1047,,,,10.0134,,10.0079,,,,,,,
06/22/2009,10.107,10.0247,,10.0317,10.0145,,10.0109,,,,,,,
06/23/2009,10.1088,10.026,,10.0325,10.0156,,10.0128,,,,,,,
06/24/2009,10.1174,10.0274,,10.034,10.0166,,10.0139,,,,,,,
06/25/2009,10.1191,10.0288,,10.0355,10.0176,,10.0151,,,,,,,
06/26/2009,10.1208,10.0302,,10.0358,10.0186,,10.0163,,,,,,,
06/27/2009,10.1226,10.0314,,,10.0198,,,,,,,,,
06/28/2009,10.1237,,,,10.021,,,,,,,,,
06/29/2009,10.126,10.034,,10.0402,10.0222,,10.0201,,,,,,,
06/30/2009,10.1277,10.0358,,10.0417,10.0232,,10.021,,,,,,,
07/01/2009,10.1295,10.0374,,10.0432,10.0241,,10.022,,,,,,,
07/02/2009,10.1314,10.0386,,10.0446,10.025,,10.023,,,,,,,
07/03/2009,10.1329,10.04,,10.0462,10.0259,,10.0237,,,,,,,
07/04/2009,10.1345,10.0411,,,10.027,,,,,,,,,
07/05/2009,10.1355,,,,10.0281,,,,,,,,,
07/06/2009,10.1376,10.0437,,10.0505,10.0291,,10.0258,,,,,,,
07/07/2009,10.1391,10.045,,10.052,10.03,,10.0265,,,,,,,
