Date,SM001003,SM002003,SM003005,SM004001,SM005001,SM006001,SM007001,SM008001,SM009001,SM010001,SM011001,SM012001,SM013001,SM014001
05/01/2009,,,,10.0,,,,,,,,,,
05/05/2009,,,,10.0,,,,,,,,,,
05/06/2009,,,,10.0,,,,,,,,,,
05/07/2009,,,,10.0,,,,,,,,,,
05/08/2009,,,,10.0,,,,,,,,,,
05/11/2009,,,,10.0,,,,,,,,,,
05/12/2009,,,,10.0,,,,,,,,,,
05/13/2009,,,,10.0,,,,,,,,,,
05/14/2009,,,,10.0,,,,,,,,,,
05/15/2009,10.0,,,10.0,10.0,,,,,,,,,
05/16/2009,10.0,,,,10.0,,,,,,,,,
05/17/2009,10.0,,,,10.0,,,,,,,,,
05/18/2009,10.0,,,10.0,10.0,,10.0,,,,,,,
05/19/2009,10.0,,,10.0,10.0,,10.0,,,,,,,
05/20/2009,10.0,,,10.0,10.0,,10.0,,,,,,,
05/21/2009,10.0,10.0,,10.0,10.0,,10.0,,,,,,,
05/22/2009,10.0,10.0,,10.0,10.0,,10.0,,,,,,,
05/23/2009,10.0,10.0,,,10.0,,,,,,,,,
05/24/2009,10.0,,,,10.0,,,,,,,,,
05/25/2009,10.0,10.0,,10.0,10.0,,10.0,,,,,,,
05/26/2009,10.0,10.0,,10.0,10.0,,10.0,,,,,,,
05/27/2009,10.0,10.0,,10.0,10.0,,10.0,,,,,,,
05/28/2009,10.0,10.1387,,10.0,10.0,,10.0,,,,,,,
05/29/2009,10.0,10.3937,,10.1419,10.0,,10.0,,,,,,,
05/30/2009,10.0,10.3937,,,10.0,,,,,,,,,
05/31/2009,10.0,,,,10.0,,,,,,,,,
06/01/2009,10.0,10.5777,,10.3073,10.0,,10.0,,,,,,,
06/02/2009,10.0,10.5665,,10.4903,10.0,,10.0,,,,,,,
06/03/2009,10.0,10.5774,,10.4818,10.0,,10.0,,,,,,,
06/04/2009,10.0,10.6794,,10.493,10.0,,10.0,,,,,,,
06/05/2009,10.0,10.7048,,10.5924,10.0,,10.0,,,,,,,
06/06/2009,10.0,10.7048,,,10.0,,,,,,,,,
06/07/2009,10.0,,,,10.0,,,,,,,,,
06/08/2009,10.0,10.4177,,10.6044,10.0,,10.0,,,,,,,
06/09/2009,10.0,10.633,,10.3743,10.0,,10.0,,,,,,,
06/10/2009,10.0,10.8204,,10.6458,10.0,,10.0,,,,,,,
06/11/2009,10.0,10.7938,,10.8859,10.0,,10.0,,,,,,,
06/12/2009,10.0,10.7011,,10.8549,9.8477,,10.0,,,,,,,
06/13/2009,10.0,10.7014,,,9.8477,,,,,,,,,
06/14/2009,10.0,,,,9.8477,,,,,,,,,
06/15/2009,10.0,10.5489,,10.7314,9.6685,,10.0,,,,,,,
06/16/2009,10.0,10.5966,,10.5038,9.6265,,10.0,,,,,,,
06/17/2009,10.0,10.401,,10.5668,9.6646,,10.0,,,,,,,
06/18/2009,10.0,10.1708,,10.2817,9.2531,,10.0,,,,,,,
06/19/2009,9.2021,10.2977,,10.0923,9.3031,,10.0,,,,,,,
06/20/2009,9.2758,10.2977,,,9.3031,,10.0,,,,,,,
06/21/2009,9.2758,,,,9.3031,,10.0,,,,,,,
06/22/2009,9.2758,10.1104,,10.2044,9.3968,,10.0,,,,,,,
06/23/2009,9.1981,10.1376,,10.108,9.2623,,10.0,,,,,,,
06/24/2009,9.2087,10.2358,,10.1317,9.2623,,10.0,,,,,,,
06/25/2009,9.2538,10.112,,10.2243,9.2973,,10.0,,,,,,,
06/26/2009,9.2064,10.3975,,10.1031,9.4051,,10.0,,,,,,,
06/27/2009,9.3173,10.3975,,,9.4051,,,,,,,,,
06/28/2009,9.3173,,,,9.4051,,,,,,,,,
06/29/2009,9.3173,10.4273,,10.3916,9.4886,,10.0,,,,,,,
06/30/2009,9.3279,10.2179,,10.428,9.41,,10.0,,,,,,,
07/01/2009,9.2654,10.3237,,10.428,9.3829,,10.0,,,,,,,
07/02/2009,9.291,10.3411,,10.3212,9.413,,10.0,,,,,,,
07/03/2009,9.2967,10.5197,,10.3406,9.4647,,10.0,,,,,,,
07/04/2009,9.3453,10.5197,,,9.4647,,,,,,,,,
07/05/2009,9.3453,,,,9.4647,,,,,,,,,
07/06/2009,9.3453,10.0784,,10.5124,10.1761,,10.0,,,,,,,
07/07/2009,9.192,10.1609,,9.938,9.2646,,9.9592,,,,,,,
