Date,SM001005,SM002005,SM003007,SM004003,SM005003,SM006003,SM007003,SM008003,SM009003,SM010003,SM011003,SM012003,SM013003,SM014003
05/01/2009,,,,10.0,,,,,,,,,,
05/05/2009,,,,10.0,,,,,,,,,,
05/06/2009,,,,10.0,,,,,,,,,,
05/07/2009,,,,10.0,,,,,,,,,,
05/08/2009,,,,10.0,,,,,,,,,,
05/11/2009,,,,10.0,,,,,,,,,,
05/12/2009,,,,10.0,,,,,,,,,,
05/13/2009,,,,10.0,,,,,,,,,,
05/14/2009,,,,10.0,,,,,,,,,,
05/15/2009,10.0,,,10.0,10.0,,,,,,,,,
05/16/2009,10.0,,,,10.0,,,,,,,,,
05/17/2009,10.0,,,,10.0,,,,,,,,,
05/18/2009,10.0,,,10.0,10.0,,10.0,,,,,,,
05/19/2009,10.0,,,10.0,10.0,,10.0,,,,,,,
05/20/2009,10.0,,,10.0,10.0,,10.0,,,,,,,
05/21/2009,10.0,10.0,,10.0,10.0,,10.0,,,,,,,
05/22/2009,10.0,10.0,,10.0,10.0,,10.0,,,,,,,
05/23/2009,10.0,10.0,,,10.0,,,,,,,,,
05/24/2009,10.0,,,,10.0,,,,,,,,,
05/25/2009,10.0,10.0,,10.0,10.0,,10.0,,,,,,,
05/26/2009,10.0,10.0,,10.0,10.0,,10.0,,,,,,,
05/27/2009,10.0,10.0,,10.0,10.0,,10.0,,,,,,,
05/28/2009,10.0,10.0,,10.0,10.0,,10.0,,,,,,,
05/29/2009,10.0,10.0,,10.0,10.0,,10.0,,,,,,,
05/30/2009,10.0,10.0,,,10.0,,,,,,,,,
05/31/2009,10.0,,,,10.0,,,,,,,,,
06/01/2009,10.0,10.0,,10.0,10.0,,10.0,,,,,,,
06/02/2009,10.0,9.9985,,10.0015,10.0,,10.0,,,,,,,
06/03/2009,10.0,10.0,,10.0027,10.0,,10.0,,,,,,,
06/04/2009,10.0012,10.0014,,10.0041,10.0,,10.0,,,,,,,
06/05/2009,10.0042,10.0026,,10.0056,10.0,,10.0,,,,,,,
06/06/2009,10.0092,10.0038,,,10.0,,,,,,,,,
06/07/2009,10.0151,,,,10.0,,,,,,,,,
06/08/2009,10.023,10.0063,,10.0065,10.0,,10.0,,,,,,,
06/09/2009,10.0323,10.0077,,10.0074,10.0,,10.0,,,,,,,
06/10/2009,10.0433,10.0091,,10.0089,10.0011,,10.0009,,,,,,,
06/11/2009,10.0561,10.0106,,10.0104,10.0022,,10.0009,,,,,,,
06/12/2009,10.0562,10.0119,,10.0117,10.0033,,10.0021,,,,,,,
06/13/2009,10.0563,10.0129,,,10.0044,,,,,,,,,
06/14/2009,10.0564,,,,10.0055,,,,,,,,,
06/15/2009,10.0564,10.0149,,10.0162,10.0065,,10.0039,,,,,,,
06/16/2009,10.0565,10.0163,,10.0176,10.0076,,10.0045,,,,,,,
06/17/2009,10.0566,10.0177,,10.0191,10.0086,,10.0051,,,,,,,
06/18/2009,10.0566,10.0191,,10.0206,10.0096,,10.0071,,,,,,,
06/19/2009,10.0567,10.0205,,10.022,10.0108,,10.0083,,,,,,,
06/20/2009,10.0632,10.0219,,,10.012,,10.0083,,,,,,,
06/21/2009,10.0653,,,,10.0131,,10.0083,,,,,,,
06/22/2009,10.0674,10.0246,,10.0264,10.0143,,10.0116,,,,,,,
06/23/2009,10.0693,10.026,,10.0272,10.0154,,10.0131,,,,,,,
06/24/2009,10.0711,10.0274,,10.0281,10.0165,,10.0142,,,,,,,
06/25/2009,10.0729,10.0288,,10.029,10.0176,,10.0154,,,,,,,
06/26/2009,10.0747,10.0302,,10.0292,10.0187,,10.0165,,,,,,,
06/27/2009,10.0764,10.0312,,,10.0198,,,,,,,,,
06/28/2009,10.0781,,,,10.0208,,,,,,,,,
06/29/2009,10.0798,10.0337,,10.0336,10.0219,,10.0198,,,,,,,
06/30/2009,10.081,10.0355,,10.0336,10.0228,,10.0198,,,,,,,
07/01/2009,10.0822,10.0371,,10.0336,10.0239,,10.0198,,,,,,,
07/02/2009,10.0834,10.0383,,10.1067,10.0249,,10.0198,,,,,,,
07/03/2009,10.0845,10.0397,,10.146,10.0259,,10.0198,,,,,,,
07/04/2009,10.0857,10.0405,,,10.0271,,,,,,,,,
07/05/2009,10.0868,,,,10.0282,,,,,,,,,
07/06/2009,10.0879,10.0428,,10.0652,10.0293,,10.0198,,,,,,,
07/07/2009,10.0889,10.0441,,10.0622,10.0303,,10.0198,,,,,,,
