Date,SM001016,SM002016,SM003016
04/18/2024,10.0,10.0,10.0
04/19/2024,10.0,10.0,10.0
04/22/2024,10.0,10.0,10.0
04/23/2024,10.0,10.0,10.0
04/24/2024,10.0007,10.0016,10.001
04/25/2024,10.0002,10.0004,9.9509
04/26/2024,10.0015,10.0012,9.9541
04/29/2024,10.0063,10.0063,9.9587
04/30/2024,10.0075,10.008,9.9584
05/02/2024,10.0105,10.0115,9.9667
05/03/2024,10.0115,10.0136,9.9745
05/06/2024,10.0161,10.0195,9.9869
05/07/2024,10.0172,10.0212,9.9843
05/08/2024,10.0184,10.0226,9.9856
05/09/2024,10.0196,10.0238,9.9881
05/10/2024,10.021,10.0254,9.9916
05/13/2024,10.026,10.031,9.9985
05/14/2024,10.027,10.0326,10.0012
05/15/2024,10.0277,10.0342,10.0037
05/16/2024,10.0289,10.0364,10.0056
05/17/2024,10.0301,10.0384,10.0069
05/21/2024,10.0369,10.0462,10.0145
05/22/2024,10.0382,10.0493,10.0172
05/24/2024,10.0414,10.0532,10.021
