Date,SM002020,SM002022,SM008012
10/01/2025,10.0,,10.0
10/06/2025,10.0,,10.0
10/07/2025,10.0,,10.0
10/08/2025,10.0,,10.0
10/09/2025,10.0,,10.0
10/10/2025,10.0,,10.0
10/13/2025,10.0,,10.0
10/14/2025,10.0,,10.0
10/15/2025,10.0,,10.0
10/16/2025,10.0,,10.0
10/17/2025,10.0,,10.0
10/20/2025,10.0,,10.0
10/23/2025,10.0,,10.0
10/24/2025,10.0,,10.0
10/27/2025,10.0,10.0,10.0
10/28/2025,10.0,10.0,10.0
10/29/2025,10.0,10.0,10.0
10/30/2025,10.0,10.0,10.0
10/31/2025,10.0,10.0,10.0
11/03/2025,10.0,10.0,10.0
11/04/2025,10.0,10.0,10.0
11/06/2025,10.0,10.0,10.0
11/07/2025,10.0,10.0,10.0
11/10/2025,10.0,10.0,10.0
11/11/2025,10.0,10.0,10.0
11/12/2025,10.0,10.0,10.0
11/13/2025,10.0,10.0,10.0
11/17/2025,10.0,10.0,10.0
11/18/2025,10.0,10.0,10.0
11/19/2025,10.0,10.0,10.0
11/20/2025,10.0,10.0,10.0
11/21/2025,10.0,10.0,10.0
11/24/2025,10.0,10.0,10.0
11/25/2025,10.0,10.0,10.0
11/26/2025,10.0,10.0,10.0
11/27/2025,10.0,10.0,10.0
11/28/2025,10.0,10.0,10.0
12/01/2025,10.0,10.0,10.0
12/02/2025,10.0,10.0,10.0
12/03/2025,10.0,10.0,10.0
12/05/2025,10.0,10.0,10.0
12/08/2025,10.0,10.0,10.0
12/09/2025,10.0,10.0,10.0
12/10/2025,10.0,10.0,10.0
12/11/2025,10.0,10.0,10.0
12/12/2025,10.0,10.0,10.0
12/15/2025,10.0,10.0,10.0
12/16/2025,10.0,10.0,10.0
12/17/2025,10.0,10.0,9.9979
12/18/2025,10.0,10.0016,9.9962
12/19/2025,10.0007,10.0023,9.9965
12/22/2025,10.0032,10.0046,9.9999
12/23/2025,10.0045,10.0053,10.0012
12/24/2025,10.0052,10.006,10.0025
12/26/2025,10.0058,10.0075,10.005
12/29/2025,10.0086,10.01,10.0028
12/30/2025,10.0103,10.0108,10.0184
01/01/2026,10.0135,10.0126,10.0264
01/02/2026,10.0146,10.0132,10.0126
01/05/2026,10.0175,10.0153,9.9818
01/06/2026,10.0183,10.0163,9.9891
01/07/2026,10.0195,10.017,9.9935
01/08/2026,10.0202,10.0176,9.9841
01/09/2026,10.0207,10.0182,10.0056
01/12/2026,10.0244,10.0219,10.0272
01/13/2026,10.0254,10.023,10.0518
01/14/2026,10.0265,10.0237,10.0337
01/16/2026,10.0287,10.0264,10.0147
01/19/2026,10.0327,10.0304,10.0139
01/20/2026,10.0333,10.0309,10.0179
01/21/2026,10.034,10.0317,10.029
01/22/2026,10.035,10.0329,10.0518
01/23/2026,10.0364,10.0348,10.0445
01/27/2026,10.0394,10.0403,10.0261
01/28/2026,10.0408,10.0417,10.036
01/30/2026,10.0432,10.0441,10.05
02/02/2026,10.0473,10.0486,10.0144
02/03/2026,10.0491,10.0503,10.0527
02/04/2026,10.0516,10.053,10.06
02/05/2026,10.0543,10.0553,10.0715
02/06/2026,10.0562,10.0573,10.0513
02/09/2026,10.0607,10.0605,10.0585
02/10/2026,10.0619,10.0617,10.0714
02/11/2026,10.0636,10.063,10.0835
02/12/2026,10.065,10.0644,10.0798
02/13/2026,10.0665,10.0656,10.065
02/16/2026,10.0704,10.0706,10.0857
02/17/2026,10.0716,10.0719,10.0935
02/18/2026,10.0732,10.0735,10.0972
02/20/2026,10.0759,10.0763,10.0759
02/23/2026,10.0803,10.0804,10.0922
02/24/2026,10.0816,10.0818,10.0935
02/25/2026,10.0828,10.083,10.0979
02/26/2026,10.0839,10.0841,10.0967
02/27/2026,10.085,10.0852,10.0803
03/02/2026,10.0891,10.0898,10.0681
03/04/2026,10.0917,10.0925,10.0444
03/05/2026,10.0929,10.0937,10.0729
03/06/2026,10.094,10.095,10.0508
03/09/2026,10.0981,10.099,10.0208
03/10/2026,10.099,10.1,10.049
03/11/2026,10.1005,10.1013,10.0328
03/12/2026,10.1019,10.1027,10.017
03/13/2026,10.1026,10.1033,9.9923
03/16/2026,10.1066,10.107,10.0023
03/17/2026,10.1073,10.1077,10.0082
03/18/2026,10.1098,10.11,10.0159
03/20/2026,10.1131,10.1128,9.9784
03/23/2026,10.118,10.1173,9.9226
03/24/2026,10.1174,10.1167,9.9297
03/25/2026,10.118,10.1172,9.9382
03/27/2026,10.121,10.1204,9.8799
03/31/2026,10.1324,10.1322,9.7994
04/02/2026,10.1362,10.136,9.7782
04/06/2026,10.1545,10.1539,9.8549
04/07/2026,10.1571,10.1567,9.8742
04/08/2026,10.1593,10.1587,9.9923
04/09/2026,10.1625,10.1617,9.9652
04/10/2026,10.1665,10.1655,9.9964
04/13/2026,10.1721,10.1709,9.9816
04/15/2026,10.1766,10.175,10.032
