Date,SM001007,SM002007,SM003009,SM004005,SM005005,SM006005,SM007005,SM008005,SM009005,SM010006,SM011006,SM012006,SM013006
11/30/2009,,,,10,,,,,,,,,
12/01/2009,,,,10,,,,,,,,,
12/02/2009,,,,10,,,,,,,,,
12/03/2009,,,,10,,,,,,,,,
12/04/2009,,,,10,,,,,,,,,
12/07/2009,,,,10,,,,,,,,,
12/08/2009,,,,10,,,,,,,,,
12/09/2009,,,,10,,,,,,,,,
12/10/2009,,,,10,,,,,,,,,
12/11/2009,,,,10,,,,,,,,,
12/14/2009,10,10.0000,,10,10,,,,,,,,
12/15/2009,10,10.0000,,10,10,,,,,,,,
12/16/2009,10,10.0000,,10,10,,,,,,,,
12/17/2009,10,10.0000,,10,10,,,,,,,,
12/18/2009,10,10.0000,,10,10,,,,,,,,
12/19/2009,10,10.0000,,,10,,,,,,,,
12/20/2009,10,,,,10,,,,,,,,
12/21/2009,10,10.0000,,10,10,,,,,,,,
12/22/2009,10,10.0000,,10,10,,,,,,,,
12/23/2009,10,10.0000,,10,10,,,,,,,,
12/24/2009,10,10.0000,,10,10,,,,,,,,
12/25/2009,10,,,,10,,,,,,,,
12/26/2009,10,10.0000,,,10,,,,,,,,
12/27/2009,10,,,,10,,,,,,,,
12/28/2009,10,,,,10,,,,,,,,
12/29/2009,10,10.0000,,10,10,,,,,,,,
12/30/2009,10,10.0000,,10,10,,,,,,,,
12/31/2009,10,10.0000,,10,10,,,,,,,,
01/01/2010,10,10.0004,,,10,,,,,,,,
01/02/2010,10,10.0011,,,10,,,,,,,,
01/03/2010,10,,,,10,,,,,,,,
01/04/2010,10,10.0030,,10.1168,10,,,,,,,,
01/05/2010,10,10.0040,,10.1168,10,,,,,,,,
01/06/2010,10,10.0048,,10,10,,,,,,,,
01/07/2010,10,10.0056,,10.0009,10,,,,,,,,
01/08/2010,10,10.0059,,10.0009,10,,,,,,,,
01/09/2010,10,10.0069,,,10,,,,,,,,
01/10/2010,10,,,,10,,,,,,,,
01/11/2010,10,10.0086,,10.005,10,,,,,,,,
01/12/2010,10,10.0089,,10.0061,10,,10.0000,,,,,,
01/13/2010,10,10.0098,,10.0072,10,,10.0047,,,,,,
01/14/2010,10,10.0108,,10.0082,10,,10.0057,,,,,,
01/15/2010,10,10.0113,,10.0092,10,,10.0067,,,,,,
01/16/2010,10,10.0123,,,10,,,,,,,,
01/17/2010,10,,,,10,,,,,,,,
01/18/2010,10,10.0140,,10.0123,9.7507,,10.0093,,,,,,
01/19/2010,10,10.0150,,10.0134,9.7507,,10.0102,,,,,,
01/20/2010,10,10.0155,,10.0144,9.7507,,10.0111,,,,,,
01/21/2010,10,10.0164,,10.0154,9.7507,,10.0120,,,,,,
01/22/2010,10,10.0174,,10.0165,9.7517,,10.0132,,,,,,
01/23/2010,10,10.0183,,,9.7527,,,,,,,,
01/24/2010,10,,,,9.7537,,,,,,,,
01/25/2010,10,10.0200,,10.0194,9.7547,,10.0160,,,,,,
01/26/2010,10,,,,9.7556,,,,,,,,
01/27/2010,10,10.0219,,10.0215,9.7565,,10.0178,,,,,,
01/28/2010,10,10.0230,,10.0226,9.7573,,10.0186,,,,,,
01/29/2010,10,10.0239,,10.0236,9.7582,,10.0194,,,,,,
01/30/2010,10,10.0248,,,9.7590,,,,,,,,
01/31/2010,10,,,,9.7598,,,,,,,,
02/01/2010,10,10.0267,,10.0261,9.7606,,10.0224,,,,,,
02/02/2010,10,10.0280,,10.0272,9.7614,,10.0224,,,,,,
02/03/2010,10,10.0289,,10.0283,9.7622,,10.0224,,,,,,
02/04/2010,10,10.0298,,10.0293,9.7633,,10.0332,,,,,,
02/05/2010,10,10.0308,,10.0304,9.7644,,10.0284,,,,,,
