Date,SM001006,SM002006,SM003008,SM004004,SM005004,SM006004,SM007004,SM008004,SM009004,SM010005,SM011005,SM012005,SM013005,SM014005
11/30/2009,,,,10.0,,,,,,,,,,
12/01/2009,,,,10.0,,,,,,,,,,
12/02/2009,,,,10.0,,,,,,,,,,
12/03/2009,,,,10.0,,,,,,,,,,
12/04/2009,,,,10.0,,,,,,,,,,
12/07/2009,,,,10.0,,,,,,,,,,
12/08/2009,,,,10.0,,,,,,,,,,
12/09/2009,,,,10.0,,,,,,,,,,
12/10/2009,,,,10.0,,,,,,,,,,
12/11/2009,,,,10.0,,,,,,,,,,
12/14/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/15/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/16/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/17/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/18/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/19/2009,10.0,10.0,,,10.0,,,,,,,,,
12/20/2009,10.0,,,,10.0,,,,,,,,,
12/21/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/22/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/23/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/24/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/25/2009,10.0,,,,10.0,,,,,,,,,
12/26/2009,10.0,10.0,,,10.0,,,,,,,,,
12/27/2009,10.0,,,,10.0,,,,,,,,,
12/28/2009,10.0,,,,10.0,,,,,,,,,
12/29/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/30/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/31/2009,10.0,10.0005,,10.0,10.0,,,,,,,,,
01/01/2010,10.0,10.0009,,,10.0,,,,,,,,,
01/02/2010,10.0,10.0018,,,10.0,,,,,,,,,
01/03/2010,10.0,,,,10.0,,,,,,,,,
01/04/2010,10.0,10.0034,,10.0,10.0,,,,,,,,,
01/05/2010,10.0,10.0041,,10.0,10.0,,,,,,,,,
01/06/2010,10.0,10.0853,,10.0,10.0,,,,,,,,,
01/07/2010,10.0,10.0922,,10.0,10.0,,,,,,,,,
01/08/2010,10.0,10.0575,,10.0,10.0,,,,,,,,,
01/09/2010,10.0,10.0575,,,10.0,,,,,,,,,
01/10/2010,10.0,,,,10.0,,,,,,,,,
01/11/2010,10.0,10.0237,,9.9673,10.0,,10.0,,,,,,,
01/12/2010,10.0,10.0286,,9.9748,10.0,,9.9426,,,,,,,
01/13/2010,10.0,9.9788,,9.9057,10.0,,10.0188,,,,,,,
01/14/2010,10.0,10.0231,,9.9471,9.8778,,10.0192,,,,,,,
