Date,SM001008,SM002008,SM003010,SM004006,SM005006,SM006006,SM007006,SM008006,SM009006,SM010007,SM011007,SM012007,SM013007,SM014007
11/30/2009,,,,10.0,,,,,,,,,,
12/01/2009,,,,10.0,,,,,,,,,,
12/02/2009,,,,10.0,,,,,,,,,,
12/03/2009,,,,10.0,,,,,,,,,,
12/04/2009,,,,10.0,,,,,,,,,,
12/07/2009,,,,10.0,,,,,,,,,,
12/08/2009,,,,10.0,,,,,,,,,,
12/09/2009,,,,10.0,,,,,,,,,,
12/10/2009,,,,10.0,,,,,,,,,,
12/11/2009,,,,10.0,,,,,,,,,,
12/14/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/15/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/16/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/17/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/18/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/19/2009,10.0,10.0,,,10.0,,,,,,,,,
12/20/2009,10.0,,,,10.0,,,,,,,,,
12/21/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/22/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/23/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/24/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/25/2009,10.0,,,,10.0,,,,,,,,,
12/26/2009,10.0,10.0,,,10.0,,,,,,,,,
12/27/2009,10.0,,,,10.0,,,,,,,,,
12/28/2009,10.0,,,,10.0,,,,,,,,,
12/29/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/30/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
12/31/2009,10.0,10.0,,10.0,10.0,,,,,,,,,
01/01/2010,10.0,10.0,,,10.0,,,,,,,,,
01/02/2010,10.0,10.0,,,10.0,,,,,,,,,
01/03/2010,10.0,,,,10.0,,,,,,,,,
01/04/2010,10.0,10.0,,10.0,10.0,,,,,,,,,
01/05/2010,10.0,10.0,,10.0,10.0,,,,,,,,,
01/06/2010,10.0,10.0,,10.0,10.0,,,,,,,,,
01/07/2010,10.1526,10.0,,10.0009,10.0,,,,,,,,,
01/08/2010,10.1634,10.0,,10.0009,10.0,,,,,,,,,
01/09/2010,10.1646,10.0,,,10.0,,,,,,,,,
01/10/2010,10.1659,,,,10.0,,,,,,,,,
01/11/2010,10.1686,10.0,,10.0048,10.0,,,,,,,,,
01/12/2010,10.1656,10.0009,,10.0059,10.0,,,,,,,,,
01/13/2010,10.1663,10.0018,,10.0069,10.0,,,,,,,,,
01/14/2010,10.1707,10.0027,,10.0079,10.0,,,,,,,,,
