Date,SM001014,SM002014,SM003014,SM005010,SM007010,SM008010,SM010009,SM011008,SM012008,SM013008,SM014008
01/15/2020,10.1209,,,,,,,,,,
01/21/2020,10.1254,,,,,,,,,,
08/17/2020,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,
08/18/2020,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,
08/19/2020,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,
08/20/2020,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,
08/21/2020,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,
08/22/2020,,10.0,,,,,,,,,
08/23/2020,,10.0,,,,,,,,,
08/24/2020,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,
08/25/2020,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,
08/26/2020,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,
08/27/2020,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,
08/28/2020,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,
08/29/2020,,10.0,,,,,,,,,
08/30/2020,,10.0,,,,,,,,,
08/31/2020,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,
09/01/2020,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,
09/02/2020,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,
09/03/2020,9.9994,10.0,10.0,10.0,10.0,9.9979,10.0,,,,
09/04/2020,10.0003,10.0011,10.0,10.0,9.9997,9.9987,10.0,,,,
09/05/2020,,10.0032,,,,,,,,,
09/06/2020,,10.004,,,,,,,,,
09/07/2020,10.0027,10.0049,10.0,10.0,10.002,10.0009,10.0,,,,
09/08/2020,10.0092,10.0056,10.0,10.0003,10.0028,10.0017,10.0,,,,
09/09/2020,10.012,10.0061,9.9996,10.0012,10.0036,10.0022,10.0,,,,
09/10/2020,10.0146,10.0067,10.0002,10.0015,10.0044,10.0027,10.0,,,,
09/11/2020,10.0151,10.0075,9.9996,10.0024,10.0052,10.0034,10.0,,,,
09/12/2020,,10.008,,10.0024,,,,,,,
09/13/2020,,10.0089,,10.0023,,,,,,,
09/14/2020,10.0173,10.0098,10.0015,10.0049,10.0078,10.0054,10.0,,,,
09/15/2020,10.0182,10.0108,10.0021,10.0058,10.0086,10.0062,10.0,,,,
09/16/2020,10.0192,10.0117,10.0027,10.0066,10.0094,10.007,10.0,,,,
09/17/2020,10.0201,10.0126,10.0034,10.0075,10.0102,10.0079,10.0,,,,
09/18/2020,10.021,10.0135,10.004,10.0083,10.011,10.0087,10.0,,,,
09/19/2020,,10.0143,,10.0083,,,,,,,
09/20/2020,,10.0152,,10.0083,,,,,,,
09/21/2020,10.0236,10.017,10.0059,10.0108,10.0136,10.0109,10.0,,,,
09/22/2020,10.0243,10.0177,10.0063,10.0117,10.014,10.0116,10.0,,,,
09/23/2020,10.0251,10.0185,10.0068,10.0126,10.0147,10.0119,10.0,,,,
09/24/2020,10.0261,10.0194,10.0072,10.0134,10.0156,10.0127,10.0,,,,
09/25/2020,10.0269,10.0204,10.0077,10.0143,10.0165,10.0134,10.0,,,,
09/26/2020,,10.0213,,10.0143,,,,,,,
09/27/2020,,10.0222,,10.0143,,,,,,,
09/28/2020,10.0299,10.0232,10.0091,10.0169,10.019,10.0162,10.0,,,,
09/29/2020,10.0308,10.0242,10.0095,10.0178,10.0198,10.0171,10.0,,,,
09/30/2020,10.0319,10.0253,10.01,10.0186,10.0207,10.0182,10.0,,,,
10/01/2020,10.0338,10.0272,10.0103,10.0195,10.021,10.0199,10.0,,,,
10/02/2020,,10.0282,,10.0195,,,,,,,
10/03/2020,,10.029,,10.0195,,,,,,,
10/04/2020,,10.0299,,10.0195,,,,,,,
10/05/2020,10.0374,10.0304,10.0116,10.0229,10.0238,10.0234,9.9901,,,,
10/06/2020,10.0383,10.0312,10.0118,10.0238,10.0242,10.0242,9.991,,,,
10/07/2020,10.0393,10.0323,10.0116,10.0246,10.0245,10.0252,9.9919,,,,
10/08/2020,10.0404,10.0333,10.0125,10.0255,10.0248,10.0262,9.9928,,,,
10/09/2020,10.0413,10.0342,10.0131,10.0263,10.0252,10.0271,9.9937,,,,
10/10/2020,,10.0369,,10.0263,,,,,,,
10/11/2020,,10.0361,,10.0263,,,,,,,
10/12/2020,10.044,10.0366,10.0157,10.0289,10.0272,10.0298,9.9964,,,,
10/13/2020,10.0448,10.0375,10.0166,10.0298,10.0276,10.0306,9.9973,,,,
10/14/2020,10.0459,10.0385,10.0177,10.0306,10.0279,10.0317,9.9983,,,,
10/15/2020,10.047,10.0396,10.0187,10.0315,10.0283,10.0327,9.999,,,,
10/16/2020,10.048,10.0407,10.0197,10.0323,10.0291,10.0336,10.0001,,,,
10/17/2020,,10.0417,,10.0323,,,,,,,
10/18/2020,,10.0426,,10.0323,,,,,,,
10/19/2020,10.0507,10.0434,10.0224,10.0349,10.0286,10.0362,10.0028,,,,
10/20/2020,10.0518,10.0444,10.0233,10.0357,10.0294,10.0373,10.0038,,,,
10/21/2020,10.0527,10.0452,10.0244,10.0365,10.0302,10.0382,10.0048,,,,
10/22/2020,10.0537,10.0462,10.0254,10.0373,10.031,10.0392,10.0058,,,,
10/23/2020,10.0545,10.0471,10.0263,10.0381,10.0317,10.0401,10.0066,,,,
10/24/2020,,10.0479,,10.0381,,,,,,,
10/25/2020,,10.0487,,10.0381,,,,,,,
10/26/2020,10.057,10.0496,10.0286,10.0406,10.0342,10.0425,10.0091,,,,
10/27/2020,10.0577,10.05,10.0294,10.0413,10.035,10.0431,10.0099,,,,
10/28/2020,10.0582,10.0507,10.03,10.0421,10.0357,10.0438,10.0105,,,,
10/29/2020,10.0591,10.0516,10.0309,10.0429,10.0365,10.0446,10.0114,,,,
10/30/2020,,10.0524,,10.0429,,,,,,,
10/31/2020,,10.0533,,10.0429,,,,,,,
11/01/2020,,10.0541,,10.0429,,,,,,,
11/02/2020,10.0623,10.055,10.0341,10.0462,10.0398,10.0477,10.0146,,,,
11/03/2020,10.0631,10.0557,10.0348,10.047,10.0401,10.0483,10.0153,,,,
11/04/2020,10.064,10.0568,10.0358,10.0478,10.0409,10.0493,10.0162,,,,
11/05/2020,10.065,10.0578,10.0367,10.0486,10.0418,10.0503,10.0172,,,,
11/06/2020,10.0659,10.0585,10.0376,10.0493,10.0426,10.0512,10.0181,,,,
11/07/2020,,10.0595,,10.0493,,,,,,,
11/08/2020,,10.0603,,10.0493,,,,,,,
11/09/2020,10.0685,10.0612,10.0401,10.0517,10.045,10.0538,10.0207,,,,
11/10/2020,10.0693,10.062,10.0408,10.0525,10.0458,10.0547,10.0215,,,,
11/11/2020,10.07,10.0628,10.0415,10.0533,10.0465,10.0554,10.0222,,,,
11/12/2020,10.071,10.0635,10.0425,10.054,10.0472,10.0564,10.0232,,,,
11/13/2020,10.0723,10.0649,10.0437,10.0548,10.0479,10.0578,10.0246,,,,
11/14/2020,,10.0657,,10.0548,,,,,,,
11/15/2020,,10.0665,,10.0547,,,,,,,
11/16/2020,,10.0673,,10.0547,,,,,,,
11/17/2020,10.0755,10.0681,10.0464,10.0575,10.0507,10.0609,10.0277,,,,
11/18/2020,10.0764,10.069,10.0472,10.0583,10.0515,10.0617,10.0286,,,,
11/19/2020,10.0777,10.0704,10.0484,10.059,10.0521,10.0631,10.03,,,,
11/20/2020,10.0789,10.0716,10.0494,10.0597,10.0528,10.0643,10.0313,,,,
11/21/2020,,10.0722,,10.0596,,,,,,,
11/22/2020,,10.073,,10.0596,,,,,,,
11/23/2020,10.081,10.0737,10.0512,10.0619,10.0549,10.0664,10.0335,,,,
11/24/2020,10.0815,10.0743,10.0517,10.0627,10.0557,10.067,10.0341,,,,
11/25/2020,10.0822,10.0749,10.0522,10.0634,10.0565,10.0677,10.0347,,,,
11/26/2020,10.0833,10.0759,10.053,10.0641,10.0572,10.0688,10.0358,,,,
11/27/2020,10.0844,10.077,10.0538,10.0648,10.0578,10.07,10.0369,,,,
11/28/2020,,10.0777,,10.0648,,,,,,,
11/29/2020,,10.0785,,10.0648,,,,,,,
11/30/2020,,10.0793,,10.0648,,,,,,,
12/01/2020,10.0875,10.08,10.056,10.0679,10.0604,10.0728,10.0399,,,,
12/02/2020,10.0876,10.0802,10.0562,10.0686,10.0611,10.0729,10.0398,,,,
12/03/2020,10.0875,10.0801,10.0563,10.0693,10.0619,10.073,10.0396,,,,
12/04/2020,10.0883,10.0807,10.0568,10.0701,10.0627,10.0736,10.0404,,,,
12/05/2020,,10.0816,,10.0701,,,,,,,
12/06/2020,,10.0825,,10.0701,,,,,,,
12/07/2020,10.0909,10.0831,10.0585,10.0724,10.065,10.0761,10.0431,,,,
12/08/2020,10.0919,10.084,10.059,10.0732,10.0658,10.0768,10.0441,,,,
12/09/2020,10.0922,10.0845,10.0593,10.074,10.0667,10.0773,10.0958,,,,
12/10/2020,10.0928,10.0851,10.0596,10.0749,10.0675,10.0779,10.1139,,,,
12/11/2020,10.094,10.0862,10.0603,10.0757,10.0683,10.0789,10.1103,,,,
12/12/2020,,10.087,,10.0757,,,,,,,
12/13/2020,,10.0879,,10.0757,,,,,,,
12/14/2020,10.0963,10.0887,10.0615,10.0782,10.0708,10.0813,10.1161,,,,
12/15/2020,10.0971,10.0895,10.0619,10.079,10.0715,10.082,10.1097,,,,
12/16/2020,10.0977,10.0901,10.0622,10.0798,10.0724,10.0826,10.1084,,,,
12/17/2020,10.0985,10.0908,10.0625,10.0807,10.0732,10.0832,10.1162,,,,
12/18/2020,10.0992,10.0915,10.0627,10.0815,10.0741,10.0841,10.1218,,,,
12/19/2020,,10.0923,,10.0815,,,,,,,
12/20/2020,,10.0932,,10.0815,,,,,,,
12/21/2020,10.1018,10.0941,10.0635,10.0841,10.0766,10.0862,10.054,,,,
12/22/2020,10.1025,10.0949,10.0637,10.085,10.0775,10.0869,10.094,,,,
12/23/2020,10.1033,10.0957,10.0639,10.0858,10.0784,10.0875,10.1183,,,,
12/24/2020,10.1042,10.0967,10.0634,10.0867,10.0793,10.0959,10.1399,,,,
12/25/2020,,10.0976,,10.0867,,,,,,,
12/26/2020,,10.0984,,10.0867,,,,,,,
12/27/2020,,10.0993,,10.0867,,,,,,,
12/28/2020,10.1076,10.1001,10.0669,10.0901,10.0826,10.1054,10.1683,,,,
12/29/2020,10.1085,10.101,10.068,10.0909,10.0835,10.1056,10.1823,,,,
12/30/2020,10.1096,10.1021,10.0689,10.0918,10.0842,10.1102,10.1953,,,,
12/31/2020,10.1108,10.1033,10.0699,10.0926,10.0851,10.1158,10.1996,,,,
01/01/2021,10.1119,10.1043,10.0709,10.0933,10.0853,10.1186,10.2029,,,,
01/02/2021,,10.1052,,10.0933,,,,,,,
01/03/2021,,10.1059,,10.0933,,,,,,,
01/04/2021,10.1143,10.1067,10.0732,10.0957,10.0874,10.1383,10.225,,,,
01/05/2021,10.1152,10.1077,10.0741,10.0964,10.0881,10.1405,10.2236,,,,
01/06/2021,10.1159,10.1085,10.0757,10.0972,10.0889,10.131,10.2288,,,,
01/07/2021,10.1164,10.1089,10.0767,10.0981,10.0897,10.1316,10.2359,,,,
01/08/2021,10.1165,10.1091,10.0776,10.0989,10.0905,10.1312,10.2692,,,,
01/09/2021,,10.1099,,10.0989,,,,,,,
01/10/2021,,10.1107,,10.0989,,,,,,,
01/11/2021,10.1189,10.1116,10.0804,10.1015,10.093,10.1271,10.2837,,,,
01/12/2021,10.1182,10.1112,10.084,10.1024,10.0939,10.1213,10.2824,,,,
01/13/2021,10.119,10.112,10.0849,10.1032,10.0947,10.1176,10.3011,,,,
01/14/2021,10.1201,10.1133,10.0888,10.104,10.0955,10.1223,10.3035,,,,
01/15/2021,10.1209,10.114,10.0896,10.1048,10.0963,10.0992,10.2817,,,,
01/16/2021,,10.1145,,10.1048,,,,,,,
01/17/2021,,10.1153,,10.1048,,,,,,,
01/18/2021,10.123,10.1162,10.092,10.1073,10.0988,10.0959,10.2525,,,,
01/19/2021,10.1237,10.1168,10.0847,10.1082,10.0996,10.1099,10.2808,,,,
01/20/2021,10.1244,10.1177,10.0855,10.1091,10.1005,10.1229,10.292,,,,
01/21/2021,10.1254,10.1185,10.0863,10.1099,10.1013,10.119,10.2796,,,,
01/22/2021,10.1262,10.1194,10.1043,10.1107,10.1021,10.1121,10.2625,,,,
01/23/2021,,10.1202,,10.1107,,,,,,,
01/24/2021,,10.1211,,10.1107,,,,,,,
01/25/2021,10.1289,10.122,10.0991,10.1133,10.1047,10.1179,10.2584,,,,
01/26/2021,,10.1227,,10.1133,,,,,,,
01/27/2021,10.1306,10.1236,10.1003,10.115,10.1064,10.1078,10.2316,,,,
01/28/2021,10.1316,10.1246,10.1068,10.1159,10.1073,10.1087,10.2105,,,,
01/29/2021,10.1325,10.1255,10.1091,10.1168,10.1081,10.0827,10.1887,,,,
01/30/2021,,10.1265,,10.1168,,,,,,,
01/31/2021,,10.1274,,10.1167,,,,,,,
02/01/2021,10.1353,10.1284,10.0755,10.1193,10.1102,10.0197,10.2228,,,,
02/02/2021,10.1363,10.1293,10.0451,10.1202,10.1111,9.9958,10.2488,,,,
02/03/2021,10.1372,10.1303,10.0633,10.1211,10.1119,10.0366,10.286,,,,
02/04/2021,10.1379,10.131,10.0878,10.1219,10.1127,10.0674,10.287,,,,
02/05/2021,10.1388,10.1319,10.0795,10.1228,10.1136,10.0367,10.2596,,,,
02/06/2021,,10.1329,,10.1228,,,,,,,
02/07/2021,,10.1338,,10.1227,,,,,,,
02/08/2021,10.1416,10.1347,10.1105,10.1253,10.1161,10.0664,10.2866,,,,
02/09/2021,10.1425,10.1356,10.0708,10.1262,10.117,10.0365,10.268,,,,
02/10/2021,10.1434,10.1365,10.0815,10.127,10.1178,10.0578,10.273,,,,
02/11/2021,10.1444,10.1374,10.1073,10.1279,10.1187,10.0913,10.2957,,,,
02/12/2021,10.1453,10.1384,10.1084,10.1287,10.1195,10.0824,10.2825,,,,
02/13/2021,,10.1395,,10.1287,,,,,,,
02/14/2021,,10.1404,,10.1287,,,,,,,
02/15/2021,10.1481,10.1412,10.1034,10.1312,10.122,10.0728,10.2919,,,,
02/16/2021,10.1491,10.1423,10.1102,10.132,10.1228,10.0738,10.3053,,,,
02/17/2021,10.1502,10.1434,10.1069,10.1328,10.1236,10.0561,10.2854,,,,
02/18/2021,10.1517,10.1451,10.1079,10.1333,10.1241,10.0257,10.2631,,,,
02/19/2021,,10.1463,,10.1333,,,,,,,
02/20/2021,,10.1472,,10.1333,,,,,,,
02/21/2021,,10.148,,10.1333,,,,,,,
02/22/2021,10.1552,10.1488,10.1021,10.136,10.1265,9.946,10.1671,,,,
02/23/2021,10.1558,10.1495,10.0917,10.1368,10.1273,9.9572,10.1831,,,,
02/24/2021,10.1567,10.1503,10.089,10.1376,10.128,9.9949,10.2201,,,,
02/25/2021,10.1579,10.1516,10.0863,10.1383,10.1288,9.981,10.2388,,,,
02/26/2021,10.1589,10.1526,10.0751,10.1392,10.1296,9.8881,10.1423,,,,
02/27/2021,,10.1529,,10.1392,,,,,,,
02/28/2021,,10.1537,,10.1391,,,,,,,
03/01/2021,10.1609,10.1546,10.0882,10.1418,10.1321,9.936,10.1791,,,,
03/02/2021,10.1615,10.1552,10.0949,10.1426,10.1324,9.9649,10.2038,,,,
03/03/2021,10.1623,10.156,10.1089,10.1434,10.1333,9.9819,10.2445,,,,
03/04/2021,10.163,10.1567,10.1033,10.1442,10.1341,9.981,10.2351,,,,
03/05/2021,10.1637,10.1574,10.1032,10.1451,10.1349,9.9488,10.1872,,,,
03/06/2021,,10.158,,10.145,,,,,,,
03/07/2021,,10.1589,,10.145,,,,,,,
03/08/2021,10.166,10.1598,10.1052,10.1477,10.1376,9.9458,10.2047,,,,
03/09/2021,10.1667,10.1606,10.1142,10.1486,10.1384,9.9337,10.1999,,,,
03/10/2021,10.1676,10.1614,10.1246,10.1494,10.1393,9.9364,10.2032,,,,
03/11/2021,,10.1625,,10.1494,,,,,,,
03/12/2021,10.1696,10.1634,10.118,10.1512,10.141,9.9061,10.199,,,,
03/13/2021,,10.1642,,10.1512,,,,,,,
03/14/2021,,10.1651,,10.1512,,,,,,,
03/15/2021,10.1721,10.166,10.1173,10.2417,10.1437,9.9067,10.1864,,,,
03/16/2021,10.1729,10.1667,10.1229,10.2554,10.1445,9.9206,10.2086,,,,
03/17/2021,10.1737,10.1676,10.1196,10.2559,10.1454,9.895,10.1785,,,,
03/18/2021,10.1748,10.1686,10.1123,10.2493,10.1463,9.8838,10.1674,,,,
03/19/2021,10.1758,10.1695,10.1254,10.2799,10.1471,9.9557,10.213,,,,
03/20/2021,,10.1706,,10.2815,,,,,,,
03/21/2021,,10.1716,,10.2831,,,,,,,
03/22/2021,10.179,10.1726,10.1574,10.2998,10.1498,9.9898,10.2324,,,,
03/23/2021,10.1802,10.1737,10.1764,10.3309,10.1506,10.0297,10.2521,,,,
