Date,SM001017,SM002017,SM003017
04/02/2025,10.0,10.0,10.0
04/03/2025,10.0,10.0,10.0
04/04/2025,10.0,10.0,10.0
04/07/2025,10.0,10.0,10.0
04/08/2025,10.0,10.0,10.0
04/09/2025,10.0,10.0,10.0
04/11/2025,10.0,,10.0
04/16/2025,10.0059,10.0108,10.0016
04/17/2025,10.0068,10.0117,10.0025
04/21/2025,10.0125,10.0138,10.007
04/24/2025,10.0354,10.0692,10.0102
04/25/2025,10.0198,10.0639,10.0118
04/28/2025,10.0129,10.0598,10.0167
04/29/2025,10.0384,10.084,10.0185
05/05/2025,10.0465,10.102,10.027
05/06/2025,10.0449,10.0939,10.0284
05/07/2025,10.0507,10.0971,10.0299
05/08/2025,10.0365,10.0778,10.0312
