Date,SM001021,SM002023,SM003021,SM005012,SM007013,SM008014,SM010012,SM011010,SM013010,SM014010
01/27/2026,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
01/28/2026,10.0,10.0018,10.0011,9.9994,10.0007,10.0006,9.9999,9.9995,9.9992,9.9993
01/30/2026,10.0036,10.1162,9.9416,9.9649,9.955,10.0018,9.9989,10.1408,9.9268,9.9462
02/02/2026,9.9841,10.1193,9.9458,9.9691,9.9883,10.0298,10.0025,10.1181,9.9273,9.8902
02/03/2026,10.0319,10.1203,9.947,9.9649,10.1013,10.1705,10.006,10.0618,9.9617,10.0467
02/04/2026,10.0478,10.1213,9.9482,9.9922,10.1133,10.1848,10.0076,10.2369,9.9824,10.0418
02/05/2026,10.0429,10.1208,9.9506,9.9731,10.0923,10.1616,10.0114,10.2578,9.9683,10.0238
02/06/2026,10.034,10.123,9.952,9.9602,10.1009,10.1747,10.0074,10.2643,9.9723,10.0634
02/09/2026,10.087,10.1277,9.9715,10.0364,10.137,10.2099,10.0481,10.3287,10.0166,10.1109
02/10/2026,10.0985,10.1293,9.9797,10.0584,10.167,10.221,10.0576,10.3536,10.0258,10.1364
02/11/2026,10.1091,10.1314,9.9825,10.0762,10.1799,10.2272,10.0782,10.3827,10.0419,10.1252
02/12/2026,10.092,10.1325,9.9729,10.0378,10.1462,10.1983,10.0519,10.3617,10.0075,10.0835
02/13/2026,10.0351,10.0721,9.9484,9.96,10.0754,10.1324,9.9717,10.2781,9.9279,10.0168
02/16/2026,10.0789,10.1198,9.969,10.0108,10.1599,10.1779,10.0268,10.3336,9.974,10.0567
02/17/2026,10.0916,10.1278,9.9758,10.0298,10.1744,10.1973,10.0424,10.3542,9.9827,10.0833
02/18/2026,10.1083,10.1561,9.9873,10.0489,10.2043,10.217,10.0692,10.3859,10.0145,10.1286
02/20/2026,10.0486,10.091,9.9698,9.9619,10.1273,10.1592,10.0052,10.3003,9.9448,10.014
02/23/2026,10.0767,10.1413,9.9859,9.9934,10.1733,10.1906,10.0536,10.3443,9.9734,10.0674
02/24/2026,10.0347,10.0954,9.967,9.9235,10.1271,10.1482,9.9881,10.2815,9.9103,9.9797
02/25/2026,10.0573,10.11,9.9784,9.9621,10.1487,10.162,10.02,10.3084,9.9495,9.9927
02/26/2026,10.0675,10.1216,9.9848,9.9805,10.1498,10.1747,10.0366,10.3163,9.9732,9.9833
02/27/2026,10.0041,10.036,9.9503,9.9057,10.064,10.1016,9.9532,10.2257,9.8766,9.8883
03/02/2026,9.9138,9.9506,9.9195,9.799,9.9757,10.0471,9.8672,10.135,9.7786,9.8271
03/04/2026,9.8134,9.8397,9.8683,9.6771,9.8939,9.9607,9.7372,10.0032,9.6506,9.709
03/05/2026,9.9022,9.9147,9.9091,9.7681,9.9932,10.0417,9.8222,10.1036,9.7392,9.7611
03/06/2026,9.8325,9.8324,9.8699,9.6898,9.9151,9.9847,9.7455,10.0123,9.6671,9.6705
03/09/2026,9.7226,9.7054,9.8033,9.5573,9.7798,9.8701,9.6042,9.871,9.5385,9.5354
03/10/2026,9.8022,9.7885,9.8527,9.6612,9.8598,9.9424,9.6884,9.9645,9.6208,9.5938
03/11/2026,9.7192,9.6859,9.8021,9.5488,9.7503,9.8581,9.5862,9.8504,9.5144,9.4886
03/12/2026,9.6804,9.6128,9.7651,9.4955,9.7094,9.7948,9.5252,9.7764,9.446,9.387
03/13/2026,9.542,9.4888,9.6828,9.3214,9.567,9.6759,9.3753,9.6177,9.2924,9.2766
03/16/2026,9.5841,9.536,9.7174,9.3582,9.6077,9.7265,9.4133,9.6724,9.3297,9.3179
03/17/2026,9.6328,9.5946,9.7442,9.4177,9.6598,9.7612,9.4709,9.7365,9.3919,9.3511
03/18/2026,9.6981,9.6479,9.7741,9.4939,9.715,9.8046,9.5317,9.813,9.4639,9.4074
03/20/2026,9.527,9.4726,9.6546,9.2808,9.5578,9.6322,9.3614,9.61,9.2717,9.1872
03/23/2026,9.3337,9.2917,9.535,9.0767,9.3478,9.4743,9.1606,9.404,9.0843,8.9836
03/24/2026,9.4445,9.3997,9.6034,9.2193,9.4573,9.5726,9.2887,9.5361,9.2186,9.0843
03/25/2026,9.5596,9.5143,9.6745,9.3458,9.5817,9.6625,9.4178,9.6465,9.3426,9.1982
