"Month (MM)","Day (DD)","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","Average Across Years"
01,01,0,20.808702,7.097538,16.752535,4.4237247,10.038227,14.834964,13.314798,2.6591394,2.9254284,7.8316617,10.942786,4.607742,9.686438
01,02,0,20.597225,7.274848,18.50465,2.674237,10.509096,14.634798,13.255289,2.6591394,2.9532871,7.7262154,11.044926,4.5855145,9.701602
01,03,0,20.565355,7.274848,18.412352,2.8961,10.063705,14.810847,13.382725,2.655238,2.9985712,7.637455,11.110515,4.567952,9.697971
01,04,0,20.565355,7.343019,18.786247,2.4956203,9.921386,14.972352,13.593032,1.9949853,3.5535562,7.5238214,11.141835,4.567952,9.704931
01,05,0,20.462618,7.5068636,18.607384,3.25001,9.209312,14.972352,13.730613,1.9307847,3.4951203,7.522066,11.141835,4.567952,9.699743
01,06,0,19.738823,7.5813513,18.541182,3.2881665,9.209312,14.564469,14.011264,1.9134285,3.5126793,7.639326,11.23325,4.482015,9.64294
01,07,0,20.054873,7.342306,18.462439,3.2881665,8.97734,14.949865,13.858084,1.8768716,3.561468,7.639326,11.445028,4.2834673,9.644937
01,08,0,20.14595,7.331909,18.410591,3.1957686,9.648576,14.348468,13.938852,1.8046542,3.561468,7.9021297,11.124199,4.3298235,9.6452
01,09,0,19.9206,7.263279,18.335888,3.1219125,9.860061,14.509577,13.712587,1.8046542,3.787349,7.783065,10.963849,4.368363,9.619266
01,10,0,19.514599,7.263279,18.295143,2.654147,10.330953,14.133811,14.156993,1.5621649,4.178584,7.7805157,10.807246,4.374437,9.587655
01,11,0,19.514599,7.224431,18.126642,2.7847927,10.427043,14.09333,13.968993,1.731433,4.2568154,7.8133354,10.688507,4.374437,9.583695
01,12,0,19.929577,6.804216,18.502014,2.5146825,10.418127,14.09333,13.942838,1.6408871,4.4767566,7.7069306,10.688507,4.374437,9.591025
01,13,0,19.63568,6.293913,18.496582,2.6736846,10.418127,14.076998,13.925593,1.8068435,4.395046,7.64722,10.126231,4.9073453,9.533605
01,14,0,19.630875,6.0867395,18.73276,2.6736846,10.791109,13.191905,14.456163,1.7973338,4.3808312,7.64722,10.136457,4.8976045,9.535222
01,15,0,19.768568,4.7910576,19.187992,2.6436882,10.615799,13.725975,13.785055,2.108222,4.3808312,8.000596,9.891201,4.787728,9.473893
