Date (MM/DD/YYYY),Net Asset Value (INR)
10/01/2025,10.0000
10/06/2025,9.9993
10/07/2025,9.9999
10/08/2025,10.0000
10/09/2025,10.0007
10/10/2025,10.0020
10/13/2025,10.0052
10/14/2025,10.0065
10/15/2025,10.0078
10/16/2025,10.0090
10/17/2025,10.0103
10/20/2025,10.0107
10/23/2025,10.0348
10/24/2025,10.0267
10/27/2025,10.0564
10/28/2025,10.0498
10/29/2025,10.0713
10/30/2025,10.0321
10/31/2025,9.9995
11/03/2025,10.0996
11/04/2025,10.0576
11/06/2025,10.0089
11/07/2025,10.0006
11/10/2025,10.0372
11/11/2025,10.0968
11/12/2025,10.1240
11/13/2025,10.1455
